x, y
1.000000000000000000e+00,1.332267629550187799e-17
9.997507945630869086e-01,-3.496892514442073529e-05
9.990034266657465967e-01,-1.397861123121235563e-04
9.977586413005529176e-01,-3.141833141125016313e-04
9.960176792966288772e-01,-5.577151678229874633e-04
9.937822760827619284e-01,-8.697617404466972653e-04
9.910546599574902027e-01,-1.249532033682951857e-03
9.878375498678867439e-01,-1.696068391992415752e-03
9.841341526992535282e-01,-2.208251742527134014e-03
9.799481600784284430e-01,-2.784807582605768137e-03
9.752837446938913413e-01,-3.424312618891136358e-03
9.701455561363376834e-01,-4.125201952689189905e-03
9.645387162638652256e-01,-4.885776698023691460e-03
9.584688140963942837e-01,-5.704211913496348707e-03
9.519419002444117206e-01,-6.578564725535402877e-03
9.449644808775901073e-01,-7.506782519539671739e-03
9.375435112392968007e-01,-8.486711076669810339e-03
9.296863887134559912e-01,-9.516102537618826435e-03
9.214009454506751906e-01,-1.059262308055299896e-02
9.126954405609879473e-01,-1.171386020846410837e-02
9.035785518809926753e-01,-1.287732955127795370e-02
8.940593673235961436e-01,-1.408048110005245129e-02
8.841473758189852816e-01,-1.532070480426498543e-02
8.738524578558544142e-01,-1.659533547829693256e-02
8.631848756323196037e-01,-1.790165697950373350e-02
8.521552628263360241e-01,-1.923690563742527782e-02
8.407746139958167664e-01,-2.059827293143530122e-02
8.290542736190187334e-01,-2.198290743212729520e-02
8.170059247861193308e-01,-2.338791603965761912e-02
8.046415775532582693e-01,-2.481036456978799598e-02
7.919735569706529699e-01,-2.624727775514899830e-02
7.790144907967200272e-01,-2.769563874497907308e-02
7.657772969104506000e-01,-2.915238820095949687e-02
7.522751704345886914e-01,-3.061442309948995966e-02
7.385215705824446086e-01,-3.207859536156696528e-02
7.245302072414598893e-01,-3.354171044010720998e-02
7.103150273068919995e-01,-3.500052600090462762e-02
6.958902007792465705e-01,-3.645175083726270165e-02
6.812701066393122007e-01,-3.789204415958476180e-02
6.664693185148805599e-01,-3.931801539975787740e-02
6.515025901534363673e-01,-4.072622466600046148e-02
6.363848407153015474e-01,-4.211318397697451366e-02
6.211311399018916157e-01,-4.347535939445396069e-02
6.057566929339094353e-01,-4.480917416179170526e-02
5.902768253944511434e-01,-4.611101294100376780e-02
5.747069679521304986e-01,-4.737722722466670283e-02
5.590626409794539065e-01,-4.860414198025606730e-02
5.433594390817754194e-01,-4.978806356429443802e-02
5.276130155522541498e-01,-5.092528892204277458e-02
5.118390667683120343e-01,-5.201211606578061419e-02
4.960533165451433968e-01,-5.304485580133909417e-02
4.802715004618736128e-01,-5.401984464884525272e-02
4.645093501759920418e-01,-5.493345887998860033e-02
4.487825777416933892e-01,-5.578212957092350960e-02
4.331068599477604364e-01,-5.656235854755952558e-02
4.174978226906003731e-01,-5.727073507884872933e-02
4.019710253980109393e-01,-5.790395315412312505e-02
3.865419455192049547e-01,-5.845882916291587905e-02
3.712259630965517032e-01,-5.893231978034277341e-02
3.560383454344167031e-01,-5.932153984831717297e-02
3.409942318803809158e-01,-5.962378003288648642e-02
3.261086187340088705e-01,-5.983652403102526079e-02
3.113963442982119467e-01,-5.995746509647841005e-02
2.968720740881055087e-01,-5.998452165384667717e-02
2.825502862121035408e-01,-5.991585177312114957e-02
2.684452569398261268e-01,-5.974986628333719962e-02
2.545710464712032106e-01,-5.948524031390115679e-02
2.409414849209612908e-01,-5.912092306537173464e-02
2.275701585324647613e-01,-5.865614562792189485e-02
2.144703961346526300e-01,-5.809042668518528407e-02
2.016552558555720354e-01,-5.742357596347807958e-02
1.891375121057524145e-01,-5.665569531120605989e-02
1.769296428443951630e-01,-5.578717732030553239e-02
1.650438171410724131e-01,-5.481870143046860960e-02
1.534918830453341765e-01,-5.375122748728825006e-02
1.422853557763144039e-01,-5.258598675690957097e-02
1.314354062441104865e-01,-5.132447043186107172e-02
1.209528499143772140e-01,-4.996841569501511704e-02
1.108481360272350336e-01,-4.851978944063324584e-02
1.011313371812403439e-01,-4.698076978273582616e-02
9.181213929280046537e-02,-4.535372551114132122e-02
8.289983194104122433e-02,-4.364119368401333382e-02
7.440329910775272948e-02,-4.184585557221004448e-02
