x, y
1.000000000000000000e+00,4.426749094115778594e-17
9.997415038175210267e-01,-9.626076436000579402e-05
9.989663426746878683e-01,-3.848292422732802116e-04
9.976754979175062044e-01,-8.650653192208803462e-04
9.958706022379009148e-01,-1.535906548666273082e-03
9.935539353742136592e-01,-2.395874679395624488e-03
9.907284181465365602e-01,-3.443084617245387516e-03
9.873976048801428318e-01,-4.675255648721204915e-03
9.835656742835418020e-01,-6.089724710446040024e-03
9.792374188595869278e-01,-7.683461448960924797e-03
9.744182329383398455e-01,-9.453084780911967522e-03
9.691140994288724997e-01,-1.139488063478547378e-02
9.633315753937183867e-01,-1.350482053269685782e-02
9.570777765541823578e-01,-1.577858065477054719e-02
9.503603608371486988e-01,-1.821156101974680946e-02
9.431875110743961343e-01,-2.079890441385854466e-02
9.355679169638322357e-01,-2.353551470584227395e-02
9.275107563985938164e-01,-2.641607419917669716e-02
9.190256762648210120e-01,-2.943505969311097439e-02
9.101227728023072450e-01,-3.258675695148216533e-02
9.008125716144010919e-01,-3.586527331230115329e-02
8.911060074047992829e-01,-3.926454821107380755e-02
8.810144035095009984e-01,-4.277836143616152442e-02
8.705494512825302511e-01,-4.640033898442008642e-02
8.597231893844086148e-01,-5.012395643901686876e-02
8.485479830130771006e-01,-5.394253984778897559e-02
8.370365031083492058e-01,-5.784926413876381041e-02
8.252017055533084067e-01,-6.183714916846367454e-02
8.130568103895907672e-01,-6.589905355726789760e-02
8.006152810584458157e-01,-7.002766652333447528e-02
7.878908036760007283e-01,-7.421549798125383346e-02
7.748972663493928215e-01,-7.845486722270555990e-02
7.616487385404437926e-01,-8.273789054283768596e-02
7.481594504853350536e-01,-8.705646821696400028e-02
7.344437726822304890e-01,-9.140227126657676782e-02
7.205161954639091038e-01,-9.576672848081958789e-02
7.063913086789936902e-01,-1.001410141787845431e-01
6.920837815131181125e-01,-1.045160372087459155e-01
6.776083424900538610e-01,-1.088824316823058247e-01
6.629797597021384048e-01,-1.132305499341495214e-01
6.482128213289414242e-01,-1.175504581815775967e-01
6.333223165126323773e-01,-1.218319353322556142e-01
6.183230166675623973e-01,-1.260644753539143514e-01
6.032296573097982728e-01,-1.302372935764025963e-01
5.880569204993391086e-01,-1.343393372451050227e-01
5.728194179931782593e-01,-1.383593005859155289e-01
5.575316752109125140e-01,-1.422856445765812161e-01
5.422081161159532092e-01,-1.461066215481919284e-01
5.268630491143484473e-01,-1.498103046649983949e-01
5.115106540695869564e-01,-1.533846222517139257e-01
4.961649705254189135e-01,-1.568173968562572851e-01
4.808398872196569807e-01,-1.600963888538097235e-01
4.655491329601407768e-01,-1.632093443164199797e-01
4.503062689196672963e-01,-1.661440467925555942e-01
4.351246823898878291e-01,-1.688883725643016420e-01
4.200175820152045603e-01,-1.714303488776613982e-01
4.049979945068816201e-01,-1.737582145748819695e-01
3.900787628153044584e-01,-1.758604824980925241e-01
3.752725457150065114e-01,-1.777260029819017206e-01
3.605918187332165514e-01,-1.793440277099228319e-01
3.460488763287750680e-01,-1.807042731773400024e-01
3.316558352048544767e-01,-1.817969829792905057e-01
3.174246386165491818e-01,-1.826129881335610827e-01
3.033670615135968807e-01,-1.831437646462652502e-01
2.894947163397934009e-01,-1.833814875409703893e-01
2.758190592945518049e-01,-1.833190805952115143e-01
2.623513968489702419e-01,-1.829502610632948723e-01
2.491028922991256334e-01,-1.822695787104194332e-01
2.360845721334108582e-01,-1.812724485399174468e-01
2.233073319888420338e-01,-1.799551766621449167e-01
2.107819419735532940e-01,-1.783149788294088045e-01
1.985190511392463109e-01,-1.763499912453027063e-01
1.865291908981670521e-01,-1.740592733478318332e-01
1.748227771941412712e-01,-1.714428023625007291e-01
1.634101112561198166e-01,-1.685014595227979362e-01
1.523013787852802448e-01,-1.652370079598359243e-01
