file,CL
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_107_surface_nodes_107_num_cells_11236.dat,0.010113
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_10_surface_nodes_10_num_cells_81.dat,0.117544
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_13_surface_nodes_13_num_cells_144.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_152_surface_nodes_152_num_cells_22801.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_19_surface_nodes_19_num_cells_324.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_215_surface_nodes_215_num_cells_45796.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_27_surface_nodes_27_num_cells_676.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_304_surface_nodes_304_num_cells_91809.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_38_surface_nodes_38_num_cells_1369.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_429_surface_nodes_429_num_cells_183184.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_54_surface_nodes_54_num_cells_2809.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_607_surface_nodes_607_num_cells_367236.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_76_surface_nodes_76_num_cells_5625.dat,0.052266
mesh_zeta0_-0.090_0.000_D_0.500_AoA_5.0deg_radial_distance_10.0_radial_growth_1.5_radial_nodes_859_surface_nodes_859_num_cells_736164.dat,0.052266
