"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.734259852,       0.327817796,     -0.2297788251,       3.717858749
          0,           0,           1,      -2.364437787,      0.2028218868,      0.1877768468,       3.266460794
          0,           0,           2,      -2.506127135,     0.05238924175,      0.0153751106,       3.470532501
          0,           0,           3,       -1.42233332,      0.9673387333,       1.177572046,       4.052758616
          0,           0,           4,     -0.4642182217,       2.078823606,       2.067177908,       5.139955132
          0,           0,           5,     -0.1355697124,          2.460062,       2.381487918,       5.547094932
          0,           0,           6,    -0.09445584685,       2.438066792,       2.372284972,       5.468901787
          0,           0,           7,     0.09733437969,       2.638227666,       2.485949005,       5.586539082
          0,           0,           8,      0.2525391052,       2.824313536,       2.606480138,       5.709222687
          0,           0,           9,      0.5719065099,       3.272043836,       2.826533139,        5.94662761
          0,           0,          10,      0.7240443755,       3.460721841,        2.90154343,       6.117772538
          0,           0,          11,      0.8591844936,        3.31139694,       3.017188473,       6.029110272
          0,           0,          12,      0.8622740858,       3.305557226,       3.185865863,        6.27209987
          0,           0,          13,        1.17034112,       3.577710398,       3.260480394,       6.326996723
          0,           0,          14,       1.103734445,       3.514009863,       3.293537353,       6.421729512
          0,           0,          15,       1.265864658,       3.630275875,       3.404576228,       6.577393918
          0,           0,          16,        1.53156534,       3.899273177,       3.480849269,       6.586260926
          0,           0,          17,       1.844944989,       4.049955153,       3.545644612,       6.464965528
          0,           0,          18,       1.808352414,       4.025098985,       3.698983837,       6.573491678
          0,           0,          19,       1.843167831,       4.073010458,       3.740310369,       6.650152815
          0,           0,          20,       1.977399497,       4.170028148,       3.878617616,       6.653653946
          0,           0,          21,       2.185507835,       4.389643256,       3.938718306,       6.752234639
          0,           0,          22,         2.4440238,       4.479241683,       3.966498436,       6.832149883
          0,           0,          23,       2.273256061,       4.479340861,        3.97430376,       6.863807281
          0,           0,          24,       2.445103417,       4.668498482,       4.043074709,       6.932827976
