"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 1.000000000000000e+00, 0.000000000000000e+00, 1.026625623553485e+00, 0.000000000000000e+00, 2.311282314458144e+01, 2.351453652852428e+05
54, 9.957979565910900e-01, 1.136000041200000e-04, 1.237979594101149e+00, 4.656377151769587e+01, -1.434863751847283e+00, 2.544998336124750e+05
108, 9.832920808681500e-01, 5.148549344000000e-04, 1.241620553753429e+00, 6.558373282800228e+01, -2.679651916060593e+00, 2.545143437995870e+05
162, 9.627776040043300e-01, 1.462761560850000e-03, 1.242527292656651e+00, 6.265014813970616e+01, -3.415438835264389e+00, 2.547499531881257e+05
216, 9.347288162781500e-01, 3.162332470700000e-03, 1.243459726789802e+00, 5.931087801959568e+01, -4.031643552650696e+00, 2.548487675598935e+05
270, 8.997746638887000e-01, 5.745372201560000e-03, 1.242359546002474e+00, 5.831171012452126e+01, -4.674129024638337e+00, 2.545053988099337e+05
324, 8.586686044800800e-01, 9.259139489840000e-03, 1.240264827237245e+00, 6.081843785565708e+01, -5.502449559430972e+00, 2.540379201027876e+05
378, 8.122558046470600e-01, 1.366349909624000e-02, 1.237533063235221e+00, 6.730388397417023e+01, -6.629392240722566e+00, 2.535718609344409e+05
432, 7.614405971903000e-01, 1.883603994564000e-02, 1.233729710530352e+00, 7.611229911601895e+01, -7.908394045311633e+00, 2.529579322153997e+05
486, 7.071565593584200e-01, 2.458376106779000e-02, 1.228806546693561e+00, 8.549130585836780e+01, -9.098083680515789e+00, 2.521423198027880e+05
540, 6.503408010222600e-01, 3.065940879322000e-02, 1.223049424203134e+00, 9.465338401272616e+01, -1.001752486314749e+01, 2.511551111149132e+05
594, 5.919132434880300e-01, 3.678039612830000e-02, 1.216819297417685e+00, 1.035469411653743e+02, -1.055811592839411e+01, 2.500713807895694e+05
648, 5.327609659812300e-01, 4.264838225041000e-02, 1.210144649873848e+00, 1.125045018773355e+02, -1.064971782114184e+01, 2.488995640962638e+05
