GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.153555188563136269e-01,1.370666909017589387e+04,1.370666909017589363e+00
1.900000000000000000e+01,6.235690030642570408e-02,1.198116457468169756e+04,1.198116457468169749e+00
3.700000000000000000e+01,1.646984992697470007e-02,1.146365459071648365e+04,1.146365459071648329e+00
7.300000000000000000e+01,4.121750784061922572e-03,1.132439385077772022e+04,1.132439385077772087e+00
1.450000000000000000e+02,9.623005635676016830e-04,1.128876185832175906e+04,1.128876185832175860e+00
2.890000000000000000e+02,1.674474213678934424e-04,1.127979757682026866e+04,1.127979757682026962e+00
5.770000000000000000e+02,3.158660951006660313e-05,1.127755288910823583e+04,1.127755288910823550e+00
1.153000000000000000e+03,8.136531028666164401e-05,1.127699148944476474e+04,1.127699148944476537e+00
2.305000000000000000e+03,9.381124979185726984e-05,1.127685112527011188e+04,1.127685112527011091e+00
4.609000000000000000e+03,9.692281386995265117e-05,1.127681603333321800e+04,1.127681603333321902e+00
9.217000000000000000e+03,9.770070977391691672e-05,1.127680726029390826e+04,1.127680726029390845e+00
1.843300000000000000e+04,9.789518415595007555e-05,1.127680506702950152e+04,1.127680506702950058e+00
3.686500000000000000e+04,9.794380280730427069e-05,1.127680451871277000e+04,1.127680451871277079e+00
7.372900000000000000e+04,9.795595711293061112e-05,1.127680438163761573e+04,1.127680438163761512e+00
