GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.586601063797696276e-01,1.306726338074339947e+04,1.306726338074339910e+00
1.900000000000000000e+01,4.421600484210826132e-02,1.177657320427934792e+04,1.177657320427934806e+00
3.700000000000000000e+01,1.147173874301272468e-02,1.140728634701200644e+04,1.140728634701200672e+00
7.300000000000000000e+01,2.876335909758281125e-03,1.131034817500860299e+04,1.131034817500860212e+00
1.450000000000000000e+02,6.966075717261224114e-04,1.128576539690594473e+04,1.128576539690594460e+00
2.890000000000000000e+02,1.496268074154527279e-04,1.127959659755565008e+04,1.127959659755565003e+00
5.770000000000000000e+02,1.275147205279445895e-05,1.127805292996265780e+04,1.127805292996265862e+00
1.153000000000000000e+03,2.147552982794950565e-05,1.127766692094599603e+04,1.127766692094599676e+00
2.305000000000000000e+03,3.003279131880279146e-05,1.127757041292858594e+04,1.127757041292858586e+00
4.609000000000000000e+03,3.217213878013160214e-05,1.127754628556234093e+04,1.127754628556234096e+00
