GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,7.261442956395610236e+04
1.900000000000000000e+01,6.924827558011743989e+00,7.801697021750360727e+04
3.700000000000000000e+01,1.121656923513839565e+01,8.787334477322416205e+04
7.300000000000000000e+01,1.016066709592021411e+01,9.781166214473711443e+04
1.450000000000000000e+02,1.702243179112978844e+00,9.950548751887019898e+04
2.890000000000000000e+02,7.858905961040376850e-03,9.951330817617848516e+04
5.770000000000000000e+02,3.548990456839372809e-08,9.951330821149566327e+04
1.153000000000000000e+03,7.311542290122478764e-14,9.951330821149559051e+04
2.305000000000000000e+03,7.311542290122483813e-14,9.951330821149551775e+04
4.609000000000000000e+03,5.849233832097991089e-14,9.951330821149545955e+04
9.217000000000000000e+03,2.485924378641639902e-13,9.951330821149570693e+04
1.843300000000000000e+04,5.849233832097973419e-14,9.951330821149576514e+04
3.686500000000000000e+04,1.023615920617146421e-13,9.951330821149566327e+04
7.372900000000000000e+04,1.901000995431846599e-13,9.951330821149547410e+04
1.474570000000000000e+05,3.802001990863708345e-13,9.951330821149509575e+04
2.949130000000000000e+05,1.667031642147905802e-12,9.951330821149675467e+04
