GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,6.723645901366973703e+04,6.723645901366973376e+00
1.900000000000000000e+01,6.360629756275827384e-01,1.847475099012365681e+05,1.847475099012365618e+01
3.700000000000000000e+01,1.278488322670127131e-01,1.638052056408021308e+05,1.638052056408021429e+01
7.300000000000000000e+01,2.621290570709128038e-03,1.642357151723571005e+05,1.642357151723571107e+01
1.450000000000000000e+02,3.272359394859222781e-02,1.697919169173123373e+05,1.697919169173123422e+01
2.890000000000000000e+02,1.576691427542509516e-01,2.015739011063864455e+05,2.015739011063864439e+01
5.770000000000000000e+02,2.774069292264148556e-01,2.789590839704397367e+05,2.789590839704397496e+01
1.153000000000000000e+03,1.070726554585835627e-01,3.124096105643462506e+05,3.124096105643462451e+01
2.305000000000000000e+03,2.556877337943039806e-03,3.132104512692033895e+05,3.132104512692033893e+01
4.609000000000000000e+03,2.896494364341012308e-07,3.132105419904603623e+05,3.132105419904603494e+01
9.217000000000000000e+03,2.973471354753592916e-15,3.132105419904594310e+05,3.132105419904594257e+01
1.843300000000000000e+04,3.159313314425702408e-15,3.132105419904584414e+05,3.132105419904584309e+01
3.686500000000000000e+04,2.601787435409395231e-15,3.132105419904592563e+05,3.132105419904592480e+01
7.372900000000000000e+04,7.433678386883992151e-16,3.132105419904590235e+05,3.132105419904590349e+01
1.474570000000000000e+05,1.486735677376776224e-14,3.132105419904636801e+05,3.132105419904636889e+01
2.949130000000000000e+05,3.623918213606023706e-14,3.132105419904523296e+05,3.132105419904523202e+01
