GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,1.233288932914298857e+04
1.900000000000000000e+01,2.043580197470087967e+01,1.024021854542362234e+04
3.700000000000000000e+01,8.684415308565371916e+00,1.121409733073105053e+04
7.300000000000000000e+01,7.080097022988682820e-01,1.129406037396219472e+04
1.450000000000000000e+02,1.420583846966877450e-01,1.127803897397030960e+04
2.890000000000000000e+02,1.151394654225731560e-03,1.127790912072758510e+04
5.770000000000000000e+02,6.276257549397360503e-09,1.127790912001975448e+04
1.153000000000000000e+03,9.677269345876794291e-14,1.127790912001974357e+04
2.305000000000000000e+03,1.129014757018960680e-13,1.127790912001973084e+04
4.609000000000000000e+03,0.000000000000000000e+00,1.127790912001973084e+04
9.217000000000000000e+03,1.451590401881522678e-13,1.127790912001971446e+04
1.843300000000000000e+04,1.451590401881520658e-13,1.127790912001973084e+04
3.686500000000000000e+04,1.129014757018961816e-13,1.127790912001971810e+04
7.372900000000000000e+04,4.838634672938405981e-14,1.127790912001972356e+04
1.474570000000000000e+05,1.258045014963969525e-12,1.127790912001986544e+04
2.949130000000000000e+05,1.225787450477698937e-12,1.127790912002000368e+04
