GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,1.307389464159162344e+04
1.900000000000000000e+01,2.627905544721648212e+01,1.035317740957952810e+04
3.700000000000000000e+01,8.181621561961224032e+00,1.127571362694680829e+04
7.300000000000000000e+01,3.557284502777854907e-01,1.131596774363517579e+04
1.450000000000000000e+02,2.892294551328385421e-01,1.128333302101766276e+04
2.890000000000000000e+02,3.640579001523704117e-02,1.127922672941920791e+04
5.770000000000000000e+02,8.763852866360874461e-03,1.127823832120681982e+04
1.153000000000000000e+03,2.189341032358705589e-03,1.127799140751330924e+04
2.305000000000000000e+03,5.472330817404267612e-04,1.127792969095110493e+04
4.609000000000000000e+03,1.368021642526891907e-04,1.127791426252031124e+04
9.217000000000000000e+03,3.419975956238358012e-05,1.127791040550206890e+04
1.843300000000000000e+04,8.549974705761698954e-06,1.127790944124366433e+04
3.686500000000000000e+04,2.137715847721439432e-06,1.127790920015401207e+04
7.372900000000000000e+04,5.344584401361580466e-07,1.127790913987827480e+04
1.474570000000000000e+05,1.336449928061463235e-07,1.127790912480591396e+04
2.949130000000000000e+05,3.351762559601030528e-08,1.127790912102582661e+04
