GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.596201308629607956e+04,1.596201308629607851e+00
1.900000000000000000e+01,1.705308362118342427e-02,1.569437558702822753e+04,1.569437558702822644e+00
3.700000000000000000e+01,2.183918086248287128e-03,1.572872583585479151e+04,1.572872583585479100e+00
7.300000000000000000e+01,1.288074330354846073e-03,1.574901173359729546e+04,1.574901173359729567e+00
1.450000000000000000e+02,3.894611756035071216e-06,1.574895039754993195e+04,1.574895039754993231e+00
2.890000000000000000e+02,1.966857064650656307e-11,1.574895039785969129e+04,1.574895039785969120e+00
5.770000000000000000e+02,4.619963508915644613e-16,1.574895039785968402e+04,1.574895039785968454e+00
1.153000000000000000e+03,2.309981754457822800e-16,1.574895039785968038e+04,1.574895039785968009e+00
2.305000000000000000e+03,1.732486315843364043e-15,1.574895039785970766e+04,1.574895039785970674e+00
4.609000000000000000e+03,1.385989052674693088e-15,1.574895039785968584e+04,1.574895039785968676e+00
9.217000000000000000e+03,1.039491789506020950e-15,1.574895039785966947e+04,1.574895039785966899e+00
1.843300000000000000e+04,5.081959859807187677e-15,1.574895039785974950e+04,1.574895039785974893e+00
3.686500000000000000e+04,4.850961684361429654e-15,1.574895039785967310e+04,1.574895039785967343e+00
7.372900000000000000e+04,1.847985403566255479e-15,1.574895039785970221e+04,1.574895039785970230e+00
1.474570000000000000e+05,6.121451649313259311e-15,1.574895039785960580e+04,1.574895039785960682e+00
2.949130000000000000e+05,7.738438877433683009e-15,1.574895039785972767e+04,1.574895039785972672e+00
