GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.233288932914298857e+04,1.233288932914298863e+00
1.900000000000000000e+01,2.043580197470087900e-01,1.024021854542362234e+04,1.024021854542362275e+00
3.700000000000000000e+01,8.684415308565372749e-02,1.121409733073105053e+04,1.121409733073104986e+00
7.300000000000000000e+01,7.080097022988682612e-03,1.129406037396219472e+04,1.129406037396219364e+00
1.450000000000000000e+02,1.420583846966877494e-03,1.127803897397030960e+04,1.127803897397031019e+00
2.890000000000000000e+02,1.151394654225731553e-05,1.127790912072758510e+04,1.127790912072758500e+00
5.770000000000000000e+02,6.276257549397360348e-11,1.127790912001975448e+04,1.127790912001975343e+00
1.153000000000000000e+03,9.677269345876793739e-16,1.127790912001974357e+04,1.127790912001974455e+00
2.305000000000000000e+03,1.129014757018960617e-15,1.127790912001973084e+04,1.127790912001973123e+00
4.609000000000000000e+03,0.000000000000000000e+00,1.127790912001973084e+04,1.127790912001973123e+00
9.217000000000000000e+03,1.451590401881522709e-15,1.127790912001971446e+04,1.127790912001971346e+00
1.843300000000000000e+04,1.451590401881520737e-15,1.127790912001973084e+04,1.127790912001973123e+00
3.686500000000000000e+04,1.129014757018961800e-15,1.127790912001971810e+04,1.127790912001971790e+00
7.372900000000000000e+04,4.838634672938405744e-16,1.127790912001972356e+04,1.127790912001972456e+00
1.474570000000000000e+05,1.258045014963969519e-14,1.127790912001986544e+04,1.127790912001986445e+00
2.949130000000000000e+05,1.225787450477698874e-14,1.127790912002000368e+04,1.127790912002000434e+00
