GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,5.916115953139385965e+03
1.900000000000000000e+01,4.243331643590458668e+01,1.027697895181388049e+04
3.700000000000000000e+01,1.043498490571364812e+01,1.147432280449588507e+04
7.300000000000000000e+01,7.478785388562816827e+00,1.240182897801848048e+04
1.450000000000000000e+02,3.485185242377746739e+00,1.284966355596620633e+04
2.890000000000000000e+02,2.182383115172674248e+00,1.313634901890493893e+04
5.770000000000000000e+02,1.741800033806828907e+00,1.336921399275037220e+04
1.153000000000000000e+03,2.002558990325043364e+00,1.364241132728197954e+04
2.305000000000000000e+03,2.561521603254618640e+00,1.400105128051513202e+04
4.609000000000000000e+03,1.947923676513502622e+00,1.427919918220176260e+04
9.217000000000000000e+03,5.126400351354767349e-01,1.420637163366745335e+04
1.843300000000000000e+04,2.016054237249940706e-01,1.423507030747839599e+04
3.686500000000000000e+04,2.154867009257969285e-02,1.423813843695750074e+04
7.372900000000000000e+04,5.594754676678700446e-03,1.423893507044326361e+04
1.474570000000000000e+05,3.089314719424307142e-03,1.423937496955015195e+04
2.949130000000000000e+05,1.627050993501765776e-03,1.423960665521170631e+04
