GridPoints,RelativeError,Result
3.700000000000000000e+01,6.667127730697998134e-01,1.378038799319287682e+04
7.300000000000000000e+01,1.356253874910976209e-01,1.339777973536303580e+04
1.450000000000000000e+02,4.136989938541878187e-02,1.332773181814791496e+04
2.890000000000000000e+02,3.245031001794335818e-02,1.340283366459705758e+04
5.770000000000000000e+02,6.473968526947294910e-02,1.353872323248516841e+04
1.153000000000000000e+03,1.184222241471255266e-01,1.379126914829134512e+04
2.305000000000000000e+03,1.724038500740428248e-01,1.416569240619461925e+04
4.609000000000000000e+03,1.115781236690437106e-01,1.439831614297295891e+04
9.217000000000000000e+03,9.170532000954391416e-02,1.417427376217854726e+04
1.843300000000000000e+04,2.804502733905397602e-02,1.425122046409604445e+04
3.686500000000000000e+04,3.168965591566345972e-03,1.424000353242586243e+04
7.372900000000000000e+04,2.843439993464091172e-04,1.423980695265261238e+04
1.474570000000000000e+05,1.135826351360562416e-06,1.423984485485065306e+04
2.949130000000000000e+05,2.688191208232957804e-07,1.423984562906141218e+04
5.898250000000000000e+05,2.742272490815388005e-08,1.423984565326125448e+04
1.179649000000000000e+06,1.449535666267758063e-09,1.423984565265890342e+04
