GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,1.205323066067160471e+04
1.900000000000000000e+01,1.574875691391792065e+00,1.224609137691222168e+04
3.700000000000000000e+01,8.116921480191479077e+00,1.332790713392581893e+04
7.300000000000000000e+01,4.930031467684402036e-01,1.339393967801469807e+04
1.450000000000000000e+02,3.410189839555077262e-01,1.334841903504725633e+04
2.890000000000000000e+02,2.805103537046758633e-01,1.338596806140309309e+04
5.770000000000000000e+02,8.003038192256120009e-01,1.349396074460698765e+04
1.153000000000000000e+03,1.537665640908641107e+00,1.370469310162261536e+04
2.305000000000000000e+03,2.333451329627337589e+00,1.403212593072817435e+04
4.609000000000000000e+03,1.836997429761104472e+00,1.429471956166756536e+04
9.217000000000000000e+03,5.669387000319890957e-01,1.421413413438527823e+04
1.843300000000000000e+04,1.742907727658861983e-01,1.423895131266187491e+04
3.686500000000000000e+04,7.918568697670998191e-03,1.424007892309400268e+04
7.372900000000000000e+04,1.219181587155303064e-03,1.423990531279040079e+04
1.474570000000000000e+05,3.175743974326217440e-04,1.423986009064052269e+04
2.949130000000000000e+05,7.636944561113931038e-05,1.423984921574662076e+04
