GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,1.112798474317138061e+04
1.900000000000000000e+01,1.450235826004722117e+00,1.096890968519458693e+04
3.700000000000000000e+01,1.557394851073113706e+01,1.299232818745385885e+04
7.300000000000000000e+01,2.316211712643102771e+00,1.330039345856884756e+04
1.450000000000000000e+02,1.845620289225693988e-01,1.332498632368148901e+04
2.890000000000000000e+02,4.118788369070168764e-01,1.338009610790778061e+04
5.770000000000000000e+02,8.319575288133179702e-01,1.349234670210957665e+04
1.153000000000000000e+03,1.539116015142660165e+00,1.370325570526526462e+04
2.305000000000000000e+03,2.287912356940467795e+00,1.402411516917232075e+04
4.609000000000000000e+03,1.664538353211640231e+00,1.426150336238376622e+04
9.217000000000000000e+03,2.493008768515673698e-02,1.426505965426391413e+04
1.843300000000000000e+04,3.332048370042144797e-02,1.426030805064426931e+04
3.686500000000000000e+04,4.828284229608746094e-05,1.426030116536554669e+04
7.372900000000000000e+04,1.327859732507233191e-11,1.426030116536365313e+04
1.474570000000000000e+05,6.377808513483389524e-13,1.426030116536356218e+04
2.949130000000000000e+05,9.439156599955327800e-13,1.426030116536369678e+04
