GridPoints,RelativeError,Result
3.700000000000000000e+01,1.324128778083725422e+00,1.385019544525170568e+04
7.300000000000000000e+01,1.313456737119774453e-01,1.338550060632275563e+04
1.450000000000000000e+02,3.496157886814155874e-02,1.332852408292647488e+04
2.890000000000000000e+02,3.247182283775408573e-02,1.340281817535638402e+04
5.770000000000000000e+02,6.465382356859784851e-02,1.353851673556750393e+04
1.153000000000000000e+03,1.178624453576742198e-01,1.378981171561538576e+04
2.305000000000000000e+03,1.683796468326283491e-01,1.415490229830744101e+04
4.609000000000000000e+03,9.732739886730316925e-02,1.435460372254178947e+04
9.217000000000000000e+03,3.477371101865358444e-02,1.426128590654195978e+04
1.843300000000000000e+04,3.516521533221341964e-03,1.425822278929641470e+04
3.686500000000000000e+04,7.361584417329638955e-04,1.426040384943926438e+04
7.372900000000000000e+04,1.072951113170830607e-06,1.426030131836947839e+04
1.474570000000000000e+05,2.678679575662936904e-13,1.426030116536402420e+04
2.949130000000000000e+05,2.551123405393289154e-14,1.426030116536393325e+04
5.898250000000000000e+05,8.928931918876386926e-14,1.426030116536413334e+04
1.179649000000000000e+06,1.785786383775328125e-13,1.426030116536372770e+04
