GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,1.112798474317137880e+04
1.900000000000000000e+01,1.450235826004705464e+00,1.096890968519458693e+04
3.700000000000000000e+01,1.557394851073116193e+01,1.299232818745386248e+04
7.300000000000000000e+01,2.316211712643115650e+00,1.330039345856885302e+04
1.450000000000000000e+02,1.845620289224466914e-01,1.332498632368147810e+04
2.890000000000000000e+02,4.118788369071119115e-01,1.338009610790778243e+04
5.770000000000000000e+02,8.319575288131841884e-01,1.349234670210956028e+04
1.153000000000000000e+03,1.539116015142661942e+00,1.370325570526524825e+04
2.305000000000000000e+03,2.287912356940774661e+00,1.402411516917234803e+04
4.609000000000000000e+03,1.664538353211587163e+00,1.426150336238378623e+04
9.217000000000000000e+03,2.493008768513120185e-02,1.426505965426393050e+04
1.843300000000000000e+04,3.332048370049797009e-02,1.426030805064427477e+04
3.686500000000000000e+04,4.828284304866920759e-05,1.426030116536544483e+04
7.372900000000000000e+04,1.066369583454395528e-11,1.426030116536392416e+04
1.474570000000000000e+05,3.316460427011267475e-13,1.426030116536397145e+04
2.949130000000000000e+05,1.658230213505636514e-13,1.426030116536394780e+04
