GridPoints,TrueError
1.000000000000000000e+01,5.961911597406712282e+00
2.000000000000000000e+01,1.505048185938192518e+01
4.000000000000000000e+01,1.586115208411532329e+01
8.000000000000000000e+01,1.368371467163408362e+01
1.600000000000000000e+02,7.447093341012759993e+00
3.200000000000000000e+02,2.595977480879406940e+00
6.400000000000000000e+02,8.824008222381352073e-01
1.280000000000000000e+03,3.375108285313068168e-01
2.560000000000000000e+03,1.441142323478707965e-01
5.120000000000000000e+03,6.611877218604095274e-02
1.024000000000000000e+04,3.159474332435559252e-02
2.048000000000000000e+04,1.542190850071440203e-02
4.096000000000000000e+04,7.603894543221454728e-03
8.192000000000000000e+04,3.761487737645301602e-03
1.638400000000000000e+05,1.856870916037694531e-03
3.276800000000000000e+05,9.087011656164629666e-04
6.553600000000000000e+05,4.356499521248711625e-04
1.310720000000000000e+06,1.993826386407338122e-04
