GridPoints,TrueError
1.000000000000000000e+01,1.383362690109138349e+01
2.000000000000000000e+01,6.441298167787802953e+00
4.000000000000000000e+01,2.909278058146833157e+00
8.000000000000000000e+01,6.546655954770744801e-01
1.600000000000000000e+02,2.837274790947397762e-01
3.200000000000000000e+02,1.479317243624548028e-01
6.400000000000000000e+02,7.485855171076877257e-02
1.280000000000000000e+03,3.752098706144863655e-02
2.560000000000000000e+03,1.875563273685722926e-02
5.120000000000000000e+03,9.361136779864878341e-03
1.024000000000000000e+04,4.662421357731282891e-03
2.048000000000000000e+04,2.312880553705928561e-03
4.096000000000000000e+04,1.138087281157060390e-03
8.192000000000000000e+04,5.506877769136896399e-04
1.638400000000000000e+05,2.569876712714992402e-04
3.276800000000000000e+05,1.101375819471846207e-04
6.553600000000000000e+05,3.671252159603362764e-05
1.310720000000000000e+06,0.000000000000000000e+00
