GridPoints,TrueError
1.000000000000000000e+01,2.330777269581264122e+01
2.000000000000000000e+01,1.933160739501296632e+01
4.000000000000000000e+01,1.765617099223905484e+01
8.000000000000000000e+01,1.234746445355102829e+01
1.600000000000000000e+02,5.023623744413593606e+00
3.200000000000000000e+02,1.770331250497688469e+00
6.400000000000000000e+02,6.776573741153827379e-01
1.280000000000000000e+03,2.887013588696682453e-01
2.560000000000000000e+03,1.323352019321442363e-01
5.120000000000000000e+03,6.323419807698554829e-02
1.024000000000000000e+04,3.088155249586378021e-02
2.048000000000000000e+04,1.524463091161594452e-02
4.096000000000000000e+04,7.559704259874192034e-03
8.192000000000000000e+04,3.750456405627921545e-03
1.638400000000000000e+05,1.854115121044075951e-03
3.276800000000000000e+05,9.080124710249364278e-04
6.553600000000000000e+05,4.354778045007965791e-04
1.310720000000000000e+06,1.993396041728153303e-04
