GridPoints,TrueError
1.000000000000000000e+01,2.135693486310903566e+01
2.000000000000000000e+01,2.216164529746608025e+01
4.000000000000000000e+01,1.631858096305195360e+01
8.000000000000000000e+01,9.282318617406627226e+00
1.600000000000000000e+02,4.691332875026361648e+00
3.200000000000000000e+02,1.781317041868577089e+00
6.400000000000000000e+02,6.828553831501427140e-01
1.280000000000000000e+03,2.895737221475625511e-01
2.560000000000000000e+03,1.324570919810246217e-01
5.120000000000000000e+03,6.325019586309334196e-02
1.024000000000000000e+04,3.088359841311991497e-02
2.048000000000000000e+04,1.524488949208339071e-02
4.096000000000000000e+04,7.559736758230889593e-03
8.192000000000000000e+04,3.750460477954065380e-03
1.638400000000000000e+05,1.854115632073080437e-03
3.276800000000000000e+05,9.080125332025152686e-04
6.553600000000000000e+05,4.354778162293837019e-04
1.310720000000000000e+06,1.993396090570489186e-04
