GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.472079575421169628e-01,1.293810708692341359e+04,1.293810708692341382e+00
1.900000000000000000e+01,3.978255834457893048e-02,1.172657319759174243e+04,1.172657319759174310e+00
3.700000000000000000e+01,1.017249765183677289e-02,1.139263362406072883e+04,1.139263362406072844e+00
7.300000000000000000e+01,2.528079582104320391e-03,1.130642057179484982e+04,1.130642057179485072e+00
1.450000000000000000e+02,5.998604848644542705e-04,1.128467429205269218e+04,1.128467429205269212e+00
2.890000000000000000e+02,1.166965942402293794e-04,1.127922521360415703e+04,1.127922521360415598e+00
5.770000000000000000e+02,4.164360582231321146e-06,1.127786215473951052e+04,1.127786215473951081e+00
1.153000000000000000e+03,3.438398372572936730e-05,1.127752134057605690e+04,1.127752134057605771e+00
2.305000000000000000e+03,4.193916353566263838e-05,1.127743613394477507e+04,1.127743613394477595e+00
4.609000000000000000e+03,4.382797597573778698e-05,1.127741483208973114e+04,1.127741483208973161e+00
