GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.307389464159162344e+04,1.307389464159162351e+00
1.900000000000000000e+01,2.627905544721648168e-01,1.035317740957952810e+04,1.035317740957952815e+00
3.700000000000000000e+01,8.181621561961224809e-02,1.127571362694680829e+04,1.127571362694680834e+00
7.300000000000000000e+01,3.557284502777854907e-03,1.131596774363517579e+04,1.131596774363517577e+00
1.450000000000000000e+02,2.892294551328385404e-03,1.128333302101766276e+04,1.128333302101766300e+00
2.890000000000000000e+02,3.640579001523703813e-04,1.127922672941920791e+04,1.127922672941920723e+00
5.770000000000000000e+02,8.763852866360874298e-05,1.127823832120681982e+04,1.127823832120681935e+00
1.153000000000000000e+03,2.189341032358705711e-05,1.127799140751330924e+04,1.127799140751331031e+00
2.305000000000000000e+03,5.472330817404268053e-06,1.127792969095110493e+04,1.127792969095110509e+00
4.609000000000000000e+03,1.368021642526891780e-06,1.127791426252031124e+04,1.127791426252031215e+00
9.217000000000000000e+03,3.419975956238358245e-07,1.127791040550206890e+04,1.127791040550206958e+00
1.843300000000000000e+04,8.549974705761698107e-08,1.127790944124366433e+04,1.127790944124366534e+00
3.686500000000000000e+04,2.137715847721439617e-08,1.127790920015401207e+04,1.127790920015401266e+00
7.372900000000000000e+04,5.344584401361580565e-09,1.127790913987827480e+04,1.127790913987827492e+00
1.474570000000000000e+05,1.336449928061463326e-09,1.127790912480591396e+04,1.127790912480591379e+00
2.949130000000000000e+05,3.351762559601030466e-10,1.127790912102582661e+04,1.127790912102582643e+00
