x, y
1.000000000000000000e+00,-1.036471481674323437e-02
9.996340516860522385e-01,-1.034277148184103122e-02
9.980624411598001400e-01,-1.024067814063124755e-02
9.962884476115402288e-01,-1.013452826021620304e-02
9.944085042368882021e-01,-1.003000206858733166e-02
9.924602647848201897e-01,-9.928886665271054873e-03
9.904631905531158242e-01,-9.831891362473145837e-03
9.884289313629495144e-01,-9.739313897101451595e-03
9.863651358807239422e-01,-9.651266686579444698e-03
9.842771575498612258e-01,-9.567770229832087137e-03
9.821689240013485866e-01,-9.488796765586865467e-03
9.800434229587117185e-01,-9.414292499132758882e-03
9.779029933318027501e-01,-9.344189628826354843e-03
9.757495093405490483e-01,-9.278413144267711604e-03
9.735845021869182769e-01,-9.216884787646564131e-03
9.714092434086873951e-01,-9.159525405845810042e-03
9.692248037352967360e-01,-9.106256357167025195e-03
9.670320957292497521e-01,-9.057000347285012326e-03
9.648319053730837203e-01,-9.011681913354279913e-03
9.626249159243016607e-01,-8.970227687980593390e-03
9.604117262397061650e-01,-8.932566524231742508e-03
9.581928650649562673e-01,-8.898629532715737755e-03
9.559688023285456415e-01,-8.868350063319874188e-03
9.537399581765932943e-01,-8.841663652689518357e-03
9.515067102796010978e-01,-8.818507951199809625e-03
9.492693998004593237e-01,-8.798822638440444155e-03
9.470283363131861698e-01,-8.782549333135360181e-03
9.447838018905099222e-01,-8.769631501368614981e-03
9.425360545266431300e-01,-8.760014365620624049e-03
9.402853310235197437e-01,-8.753644816199860831e-03
9.380318494404240592e-01,-8.750471326037312716e-03
9.357758111856022687e-01,-8.750443869393114901e-03
9.335174028122025236e-01,-8.753513844746126440e-03
9.312567975684118426e-01,-8.759634001948657031e-03
9.289941567419822688e-01,-8.768758373607358353e-03
9.267296308317624076e-01,-8.780842210570702008e-03
9.244633605728890258e-01,-8.795841921356697957e-03
9.221954778375548445e-01,-8.813715015323913757e-03
9.199261064294722567e-01,-8.834420049378139544e-03
9.176553627871044672e-01,-8.857916577999617319e-03
9.153833566082646422e-01,-8.884165106380471563e-03
9.131101914066636072e-01,-8.913127046466583908e-03
9.108359650093412752e-01,-8.944764675706739707e-03
9.085607700025541966e-01,-8.979041098323915088e-03
9.062846941325639616e-01,-9.015920208932758431e-03
9.040078206668407113e-01,-9.055366658338842231e-03
9.017302287204029820e-01,-9.097345821367577856e-03
8.994519935513750619e-01,-9.141823766579805152e-03
8.971731868292678325e-01,-9.188767227742526689e-03
8.948938768790437592e-01,-9.238143576932584047e-03
8.926141289036096937e-01,-9.289920799160534745e-03
8.903340051870584082e-01,-9.344067468409086863e-03
8.880535652806774705e-01,-9.400552724991326908e-03
8.857728661735054798e-01,-9.459346254138122426e-03
8.834919624489941947e-01,-9.520418265732988675e-03
8.812109064291591132e-01,-9.583739475117284898e-03
8.789297483074306472e-01,-9.649281084897192579e-03
8.766485362712899132e-01,-9.717014767685347096e-03
8.743673166156452625e-01,-9.786912649718097074e-03
8.720861338478045344e-01,-9.858947295292359858e-03
8.698050307848032014e-01,-9.933091691970173664e-03
8.675240486437691967e-01,-1.000931923650397529e-02
8.652432271259336005e-01,-1.008760372143669391e-02
8.629626044948358610e-01,-1.016791932233729670e-02
8.606822176492117116e-01,-1.025024058563232809e-02
8.584021021910108740e-01,-1.033454241699821412e-02
8.561222924889407837e-01,-1.042080007028183854e-02
8.538428217378987162e-01,-1.050898913691781372e-02
8.515637220146189401e-01,-1.059908553581429339e-02
8.492850243298309953e-01,-1.069106550368142602e-02
8.470067586771982127e-01,-1.078490558577565282e-02
8.447289540792812801e-01,-1.088058262703874013e-02
8.424516386307495663e-01,-1.097807376360880778e-02
8.401748395390417068e-01,-1.107735641468269618e-02
8.378985831626634129e-01,-1.117840827471231618e-02
8.356228950472919248e-01,-1.128120730591537606e-02
8.333477999598376540e-01,-1.138573173108559794e-02
8.310733219206126732e-01,-1.149196002668541154e-02
8.287994842337315093e-01,-1.159987091620741893e-02
8.265263095158640327e-01,-1.170944336379155411e-02
8.242538197234543507e-01,-1.182065656808247572e-02
8.219820361785047380e-01,-1.193348995631914218e-02
8.197109795930175302e-01,-1.204792317864138845e-02
8.174406700921839075e-01,-1.216393610260525435e-02
8.151711272363980632e-01,-1.228150880789587868e-02
8.129023700421695864e-01,-1.240062158122933605e-02
8.106344170020045592e-01,-1.252125491143324908e-02
8.083672861033184276e-01,-1.264338948469909650e-02
8.061009948464358255e-01,-1.276700617999776931e-02
8.038355602617373030e-01,-1.289208606465025095e-02
8.015709989260003665e-01,-1.301861039004734849e-02
7.993073269779815693e-01,-1.314656058751125130e-02
7.970445601332842855e-01,-1.327591826429272252e-02
7.947827136985557983e-01,-1.340666519969733322e-02
7.925218025850448988e-01,-1.353878334133662431e-02
7.902618413215637405e-01,-1.367225480149674224e-02
7.880028440668798151e-01,-1.380706185362114320e-02
7.857448246215744669e-01,-1.394318692890190829e-02
7.834877964393941463e-01,-1.408061261297464603e-02
7.812317726381206029e-01,-1.421932164271342246e-02
7.789767660099895519e-01,-1.435929690312130573e-02
7.767227890316762418e-01,-1.450052142431230810e-02
7.744698538738754579e-01,-1.464297837858113092e-02
7.722179724104913934e-01,-1.478665107755764048e-02
7.699671562274624792e-01,-1.493152296944209520e-02
7.677174166312370485e-01,-1.507757763631766348e-02
7.654687646569142689e-01,-1.522479879153881659e-02
7.632212110760744350e-01,-1.537317027719001424e-02
7.609747664043047255e-01,-1.552267606161455635e-02
7.587294409084430757e-01,-1.567330023700907321e-02
7.564852446135471586e-01,-1.582502701708252135e-02
7.542421873096065710e-01,-1.597784073477553565e-02
7.520002785580074400e-01,-1.613172584003993992e-02
7.497595276977613299e-01,-1.628666689767433243e-02
7.475199438515097716e-01,-1.644264858521544970e-02
7.452815359313147425e-01,-1.659965569088071510e-02
7.430443126442441981e-01,-1.675767311156360281e-02
7.408082824977624270e-01,-1.691668585087639093e-02
7.385734538049331110e-01,-1.707667901724093870e-02
7.363398346894444169e-01,-1.723763782202508005e-02
7.341074330904624468e-01,-1.739954757772267310e-02
7.318762567673221531e-01,-1.756239369617605683e-02
7.296463133040611559e-01,-1.772616168683976978e-02
7.274176101138041250e-01,-1.789083715508347355e-02
7.251901544430024993e-01,-1.805640580053322064e-02
7.229639533755393144e-01,-1.822285341544903348e-02
7.207390138366985832e-01,-1.839016588313916595e-02
7.185153425970113306e-01,-1.855832917640742180e-02
7.162929462759782817e-01,-1.872732935603463669e-02
7.140718313456775324e-01,-1.889715256929191609e-02
7.118520041342591975e-01,-1.906778504848475123e-02
7.096334708293337012e-01,-1.923921310952754482e-02
7.074162374812561493e-01,-1.941142315054656536e-02
7.052003100063121144e-01,-1.958440165051188175e-02
7.029856941898080525e-01,-1.975813516789552346e-02
7.007723956890697936e-01,-1.993261033935601195e-02
6.985604200363536576e-01,-2.010781387844911075e-02
6.963497726416711942e-01,-2.028373257436219199e-02
6.941404587955344319e-01,-2.046035329067318054e-02
6.919324836716204130e-01,-2.063766296413191426e-02
6.897258523293620103e-01,-2.081564860346390641e-02
6.875205697164639140e-01,-2.099429728819676017e-02
6.853166406713496750e-01,-2.117359616750557130e-02
6.831140699255405790e-01,-2.135353245908064648e-02
6.809128621059692410e-01,-2.153409344801297809e-02
6.787130217372299157e-01,-2.171526648570044904e-02
6.765145532437685238e-01,-2.189703898877111768e-02
6.743174609520133922e-01,-2.207939843802500524e-02
6.721217490924504823e-01,-2.226233237739301193e-02
6.699274218016424420e-01,-2.244582841291274666e-02
6.677344831241965872e-01,-2.262987421172005242e-02
6.655429370146795920e-01,-2.281445750105743492e-02
6.633527873394858831e-01,-2.299956606729570974e-02
6.611640378786559635e-01,-2.318518775497284412e-02
6.589766923276496602e-01,-2.337131046584536853e-02
6.567907542990750747e-01,-2.355792215795416561e-02
6.546062273243736795e-01,-2.374501084470400855e-02
6.524231148554653359e-01,-2.393256459395507255e-02
6.502414202663509002e-01,-2.412057152712936137e-02
6.480611468546778609e-01,-2.430901981832590472e-02
6.458822978432664508e-01,-2.449789769345165139e-02
6.437048763816011210e-01,-2.468719342936021716e-02
6.415288855472849328e-01,-2.487689535300455917e-02
6.393543283474604211e-01,-2.506699184059886162e-02
6.371812077201977065e-01,-2.525747131679126345e-02
6.350095265358493002e-01,-2.544832225384694238e-02
6.328392875983747112e-01,-2.563953317084048319e-02
6.306704936466348554e-01,-2.583109263285785634e-02
6.285031473556558224e-01,-2.602298925020796183e-02
6.263372513378663298e-01,-2.621521167764251023e-02
6.241728081443054243e-01,-2.640774861358456682e-02
6.220098202658057573e-01,-2.660058879936578677e-02
6.198482901341484386e-01,-2.679372101847108875e-02
6.176882201231946867e-01,-2.698713409579145059e-02
6.155296125499923887e-01,-2.718081689688391783e-02
6.133724696758583450e-01,-2.737475832723917576e-02
6.112167937074386437e-01,-2.756894733155583477e-02
6.090625867977456087e-01,-2.776337289302156439e-02
6.069098510471737651e-01,-2.795802403260042382e-02
6.047585885044941545e-01,-2.815288980832703417e-02
6.026088011678287781e-01,-2.834795931460596524e-02
6.004604909856049444e-01,-2.854322168151812375e-02
5.983136598574892995e-01,-2.873866607413117641e-02
5.961683096353048716e-01,-2.893428169181637075e-02
5.940244421239282424e-01,-2.913005776757086884e-02
5.918820590821697314e-01,-2.932598356734351236e-02
5.897411622236361506e-01,-2.952204838936699216e-02
5.876017532175769054e-01,-2.971824156349334514e-02
5.854638336897129980e-01,-2.991455245053464829e-02
5.833274052230515982e-01,-3.011097044160717176e-02
5.811924693586840718e-01,-3.030748495747997984e-02
5.790590275965684652e-01,-3.050408544792733781e-02
5.769270813962992239e-01,-3.070076139108400548e-02
5.747966321778604781e-01,-3.089750229280486399e-02
5.726676813223675611e-01,-3.109429768602723840e-02
5.705402301727934278e-01,-3.129113713013650239e-02
5.684142800346825286e-01,-3.148801021033426767e-02
5.662898321768525811e-01,-3.168490653700935938e-02
5.641668878320822422e-01,-3.188181574511178562e-02
5.620454481977888994e-01,-3.207872749352855962e-02
5.599255144366924730e-01,-3.227563146446173897e-02
5.578070876774696707e-01,-3.247251736280900442e-02
5.556901690153949191e-01,-3.266937491554502970e-02
5.535747595129729692e-01,-3.286619387110634172e-02
5.514608602005589555e-01,-3.306296399877563241e-02
5.493484720769690188e-01,-3.325967508806928347e-02
5.472375961100799380e-01,-3.345631694812468970e-02
5.451282332374206563e-01,-3.365287940708990011e-02
5.430203843667528174e-01,-3.384935231151302987e-02
5.409140503766423080e-01,-3.404572552573354588e-02
5.388092321170223631e-01,-3.424198893127305271e-02
5.367059304097470118e-01,-3.443813242622742465e-02
5.346041460491365305e-01,-3.463414592465879210e-02
5.325038798025149012e-01,-3.483001935598742382e-02
5.304051324107375009e-01,-3.502574266438482353e-02
5.283079045887129066e-01,-3.522130580816469625e-02
5.262121970259159287e-01,-3.541669875917541344e-02
5.241180103868927631e-01,-3.561191150219088913e-02
5.220253453117595921e-01,-3.580693403430149774e-02
5.199342024166937470e-01,-3.600175636430372889e-02
5.178445822944180987e-01,-3.619636851208915540e-02
5.157564855146784533e-01,-3.639076050803233264e-02
5.136699126247139535e-01,-3.658492239237731702e-02
5.115848641497223737e-01,-3.677884421462283143e-02
5.095013405933177530e-01,-3.697251603290629962e-02
5.074193424379828121e-01,-3.716592791338511892e-02
5.053388701455152621e-01,-3.735906992961717660e-02
5.032599241574682303e-01,-3.755193216193906253e-02
5.011825048955851347e-01,-3.774450469684140219e-02
4.991066127622293958e-01,-3.793677762634282274e-02
4.970322481408082638e-01,-3.812874104736092146e-02
4.949594113961923170e-01,-3.832038506108014636e-02
4.928881028751293525e-01,-3.851169977231787278e-02
4.908183229066534481e-01,-3.870267528888672592e-02
4.887500718024895829e-01,-3.889330172095366300e-02
4.866833498574536510e-01,-3.908356918039643940e-02
4.846181573498478112e-01,-3.927346778015535639e-02
4.825544945418515641e-01,-3.946298763358262879e-02
4.804923616799088304e-01,-3.965211885378715218e-02
4.784317589951109229e-01,-3.984085155297544673e-02
4.763726867035752988e-01,-4.002917584178797283e-02
4.743151450068207597e-01,-4.021708182863144299e-02
4.722591340921392100e-01,-4.040455961900690784e-02
4.702046541329629736e-01,-4.059159931483195816e-02
4.681517052892298358e-01,-4.077819101375931149e-02
4.661002877077436435e-01,-4.096432480848860580e-02
4.640504015225324630e-01,-4.114999078607470967e-02
4.620020468552030746e-01,-4.133517902722856630e-02
4.599552238152930794e-01,-4.151987960561423496e-02
4.579099325006192323e-01,-4.170408258713773075e-02
4.558661729976240529e-01,-4.188777802923172866e-02
4.538239453817186631e-01,-4.207095598013266269e-02
4.517832497176241247e-01,-4.225360647815153831e-02
4.497440860597093915e-01,-4.243571955093799336e-02
4.477064544523274847e-01,-4.261728521473659437e-02
4.456703549301490597e-01,-4.279829347363738740e-02
4.436357875184942512e-01,-4.297873431881690104e-02
4.416027522336616884e-01,-4.315859772777309866e-02
4.395712490832566766e-01,-4.333787366355104642e-02
4.375412780665164925e-01,-4.351655207396114278e-02
4.355128391746344030e-01,-4.369462289078825112e-02
4.334859323910820184e-01,-4.387207602899254044e-02
4.314605576919300911e-01,-4.404890138590066007e-02
4.294367150461675386e-01,-4.422508884038785226e-02
4.274144044160198552e-01,-4.440062825205066954e-02
4.253936257572652480e-01,-4.457550946036966527e-02
4.233743790195506063e-01,-4.474972228386130818e-02
4.213566641467056395e-01,-4.492325651922007140e-02
4.193404810770566260e-01,-4.509610194044991888e-02
4.173258297437388298e-01,-4.526824829798336419e-02
4.153127100750083622e-01,-4.543968531779059988e-02
4.133011219945537662e-01,-4.561040270047634487e-02
4.112910654218059903e-01,-4.578039012036364680e-02
4.092825402722491401e-01,-4.594963722456647109e-02
4.072755464577298423e-01,-4.611813363204909227e-02
4.052700838867670519e-01,-4.628586893267221114e-02
4.032661524648611939e-01,-4.645283268622490969e-02
4.012637520948038050e-01,-4.661901442144396335e-02
3.992628826769861194e-01,-4.678440363501771421e-02
3.972635441097093212e-01,-4.694898979057576111e-02
3.952657362894938520e-01,-4.711276231766293315e-02
3.932694591113896077e-01,-4.727571061069900382e-02
3.912747124692860790e-01,-4.743782402792015573e-02
3.892814962562238801e-01,-4.759909189030654686e-02
3.872898103647061108e-01,-4.775950348049057270e-02
3.852996546870112726e-01,-4.791904804164974496e-02
3.833110291155062410e-01,-4.807771477638014129e-02
3.813239335429607912e-01,-4.823549284555264660e-02
3.793383678628632905e-01,-4.839237136714900911e-02
3.773543319697372778e-01,-4.854833941507980671e-02
3.753718257594595431e-01,-4.870338601798148565e-02
3.733908491295798160e-01,-4.885750015799313062e-02
3.714114019796417310e-01,-4.901067076951256402e-02
3.694334842115059581e-01,-4.916288673792949121e-02
3.674570957296746654e-01,-4.931413689833791247e-02
3.654822364416183689e-01,-4.946441003422438060e-02
3.635089062581046138e-01,-4.961369487613319362e-02
3.615371050935289876e-01,-4.976198010030669777e-02
3.595668328662485758e-01,-4.990925432730183159e-02
3.575980894989179704e-01,-5.005550612057973331e-02
3.556308749188272222e-01,-5.020072398506907757e-02
3.536651890582439561e-01,-5.034489636570312066e-02
3.517010318547570957e-01,-5.048801164592810198e-02
3.497384032516246410e-01,-5.063005814618280753e-02
3.477773031981238328e-01,-5.077102412234869855e-02
3.458177316499052023e-01,-5.091089776416968249e-02
