# D, Appellian Root
1.000000000000000048e-04,4.138249857518628838e-01
1.072267222010323142e-04,4.046639639445021586e-01
1.149756995397735633e-04,4.224056363640493195e-01
1.232846739442066016e-04,3.557188968169811560e-01
1.321941148466028784e-04,3.958583268108670783e-01
1.417474162926804862e-04,2.854877253158803474e-01
1.519911082952933080e-04,3.721449793959363816e-01
1.629750834620643444e-04,3.099234656323688886e-01
1.747528400007682938e-04,3.183743395542010246e-01
1.873817422860383000e-04,3.315162379489273170e-01
2.009233002565047864e-04,3.419998550126189252e-01
2.154434690031884489e-04,2.596603556424627590e-01
2.310129700083160510e-04,2.289569044387534946e-01
2.477076355991711192e-04,2.641833362144697661e-01
2.656087782946686443e-04,1.755375970742598102e-01
2.848035868435802175e-04,1.519766448272524828e-01
3.053855508833415791e-04,1.266166056929769190e-01
3.274549162877728420e-04,9.085112357576689834e-02
3.511191734215130954e-04,2.054015495304245282e-03
3.764935806792467539e-04,8.456013993386131411e-02
4.037017258596553842e-04,2.418710087430372968e-02
4.328761281083057092e-04,1.087459403725538065e-02
4.641588833612782196e-04,5.584976842025667076e-02
4.977023564332114366e-04,4.076046506674948361e-02
5.336699231206312212e-04,1.377604630458259018e-02
5.722367659350220594e-04,2.230769873425004698e-02
6.135907273413176120e-04,2.333002042184045485e-02
6.579332246575682417e-04,1.552451293904332993e-02
7.054802310718645249e-04,7.191464316713202327e-05
7.564633275546290073e-04,1.086290085703137120e-02
8.111308307896872294e-04,2.273712031905541706e-02
8.697490026177834418e-04,1.415897080471088115e-02
9.326033468832199040e-04,1.947933406087703351e-02
1.000000000000000021e-03,2.233228817185818962e-02
1.072267222010323115e-03,1.555250716996055965e-02
1.149756995397735633e-03,2.932104289615191511e-02
1.232846739442065853e-03,3.789539274756555109e-02
1.321941148466028622e-03,4.274938867037782197e-02
1.417474162926804808e-03,5.193779637319953513e-02
1.519911082952933243e-03,6.209937031887990955e-02
1.629750834620643553e-03,7.124769084370582983e-02
1.747528400007682938e-03,8.302803727029887948e-02
1.873817422860383055e-03,9.573764277779928111e-02
2.009233002565045858e-03,1.107945353568383084e-01
2.154434690031884272e-03,1.278960383195320849e-01
2.310129700083160455e-03,1.479926058261061550e-01
2.477076355991711300e-03,1.689551259397368554e-01
2.656087782946686768e-03,1.935484411456546427e-01
2.848035868435802066e-03,2.223381182182111448e-01
3.053855508833415357e-03,2.552855347359261340e-01
3.274549162877728528e-03,2.925032115362118934e-01
3.511191734215130845e-03,3.352623690790376143e-01
3.764935806792467539e-03,3.838544955428739858e-01
4.037017258596557745e-03,4.391365530637230119e-01
4.328761281083061754e-03,5.022611848721101335e-01
4.641588833612782412e-03,5.742754026779219867e-01
4.977023564332113716e-03,6.562665481890611607e-01
5.336699231206312212e-03,7.493119535232050099e-01
5.722367659350220161e-03,8.550717671103560402e-01
6.135907273413176120e-03,9.748854968126139386e-01
6.579332246575681983e-03,1.110746960626219249e+00
7.054802310718645032e-03,1.264377697033822967e+00
7.564633275546290940e-03,1.437969289793887828e+00
8.111308307896872294e-03,1.633899189015414199e+00
8.697490026177834635e-03,1.854591033273823575e+00
9.326033468832199691e-03,2.102761366482372996e+00
1.000000000000000021e-02,2.381400709707738539e+00
1.072267222010323158e-02,2.693640158759593728e+00
1.149756995397735633e-02,3.042920462369991697e+00
1.232846739442065853e-02,3.432823307638689148e+00
1.321941148466028795e-02,3.867206038590886852e+00
1.417474162926804851e-02,4.350147955820920842e+00
1.519911082952933069e-02,4.885928304316186299e+00
1.629750834620645114e-02,5.479047617148889771e+00
1.747528400007684890e-02,6.134210494494825028e+00
1.873817422860384746e-02,6.856295157558374598e+00
2.009233002565048026e-02,7.650350518506455089e+00
2.154434690031884619e-02,8.521573737445601537e+00
2.310129700083160542e-02,9.475285852697510336e+00
2.477076355991711387e-02,1.051689827744695194e+01
2.656087782946686682e-02,1.165187947450114869e+01
2.848035868435801893e-02,1.288571514794852568e+01
3.053855508833415444e-02,1.422385955829237325e+01
3.274549162877728181e-02,1.567168320612186072e+01
3.511191734215130672e-02,1.723440941198960275e+01
3.764935806792467365e-02,1.891704641296350786e+01
4.037017258596553582e-02,2.072430780883908596e+01
4.328761281083057244e-02,2.266052609802734708e+01
4.641588833612782239e-02,2.472955239620440793e+01
4.977023564332113542e-02,2.693464741946681329e+01
5.336699231206312732e-02,2.927835807389554290e+01
5.722367659350219987e-02,3.176237953106378953e+01
6.135907273413175600e-02,3.438739880418679462e+01
6.579332246575682330e-02,3.715292280425452276e+01
7.054802310718645553e-02,4.005708428356005868e+01
7.564633275546291113e-02,4.309642381313222614e+01
8.111308307896872294e-02,4.626565337637497777e+01
8.697490026177834288e-02,4.955739806215884613e+01
9.326033468832199691e-02,5.296191941324398300e+01
1.000000000000000056e-01,5.646683716238612760e+01
