D, Gamma_A/Gamma_K
1.000000000000000021e-03,9.994653437727736289e-01
2.000000000000000042e-03,9.979212712113942896e-01
3.000000000000000062e-03,9.954729601449567866e-01
4.000000000000000083e-03,9.922339816469996077e-01
5.000000000000000104e-03,9.883146639415183454e-01
6.000000000000000125e-03,9.838154063842573516e-01
7.000000000000000146e-03,9.788240734201549831e-01
8.000000000000000167e-03,9.734159092802284752e-01
8.999999999999999320e-03,9.676546814457461787e-01
1.000000000000000021e-02,9.615942489382208747e-01
2.000000000000000042e-02,8.919035412927700524e-01
2.999999999999999889e-02,8.173119984830667928e-01
4.000000000000000083e-02,7.445712149520710144e-01
5.000000000000000278e-02,6.757599915017890035e-01
6.000000000000000472e-02,6.114416610986314060e-01
6.999999999999999278e-02,5.516279282823609575e-01
8.000000000000000167e-02,4.961331135839429640e-01
8.999999999999999667e-02,4.447130357861345806e-01
9.999999999999999167e-02,3.971187878759319112e-01
1.100000000000000006e-01,3.531153239105823127e-01
1.199999999999999956e-01,3.124856001614173540e-01
1.300000000000000044e-01,2.750292380152924987e-01
1.400000000000000133e-01,2.405595978016063508e-01
1.500000000000000222e-01,2.089008749841280710e-01
1.600000000000000033e-01,1.798857939705436615e-01
1.700000000000000122e-01,1.533540112905027453e-01
1.800000000000000211e-01,1.291511474059174325e-01
1.900000000000000022e-01,1.071283023951278002e-01
2.000000000000000111e-01,8.714190620938140619e-02
2.100000000000000200e-01,6.905377454709646368e-02
2.200000000000000011e-01,5.273126978232720724e-02
2.300000000000000100e-01,3.804749448279880902e-02
2.400000000000000189e-01,2.488146936876492119e-02
2.500000000000000000e-01,1.311826692343212933e-02
2.600000000000000089e-01,2.649086119881029298e-03
2.700000000000000178e-01,-6.628736147621642864e-03
2.800000000000000266e-01,-1.481177496042904163e-02
2.900000000000000355e-01,-2.199061779110614984e-02
2.999999999999999889e-01,-2.825002257023614613e-02
3.099999999999999978e-01,-3.366909817061244925e-02
3.200000000000000067e-01,-3.832152502073609551e-02
3.300000000000000155e-01,-4.227579206502669884e-02
3.400000000000000244e-01,-4.559544803356276738e-02
3.500000000000000333e-01,-4.833936041229265623e-02
3.600000000000000422e-01,-5.056197715206830340e-02
3.699999999999999956e-01,-5.231358693162355827e-02
3.800000000000000044e-01,-5.364057516804739828e-02
3.900000000000000133e-01,-5.458567296883189840e-02
4.000000000000000222e-01,-5.518819790874179843e-02
4.100000000000000311e-01,-5.548428391554137418e-02
4.200000000000000400e-01,-5.550710500166072814e-02
4.299999999999999933e-01,-5.528707766992686096e-02
4.400000000000000022e-01,-5.485206561503428585e-02
4.500000000000000111e-01,-5.422756316343663174e-02
4.600000000000000200e-01,-5.343687163078413710e-02
4.700000000000000289e-01,-5.250126423404435222e-02
4.800000000000000377e-01,-5.144014054869446018e-02
4.899999999999999911e-01,-5.027117101754999262e-02
5.000000000000000000e-01,-4.901043158098240815e-02
5.100000000000000089e-01,-4.767252987845619489e-02
5.200000000000000178e-01,-4.627072157237265004e-02
5.300000000000000266e-01,-4.481701998666979408e-02
5.400000000000000355e-01,-4.332229656241794180e-02
5.500000000000000444e-01,-4.179637527247609396e-02
5.600000000000000533e-01,-4.024811918303081854e-02
5.700000000000000622e-01,-3.868551167684714659e-02
5.800000000000000711e-01,-3.711573058440887501e-02
5.899999999999999689e-01,-3.554521750317751055e-02
5.999999999999999778e-01,-3.397974157621817121e-02
6.099999999999999867e-01,-3.242445848171161826e-02
6.199999999999999956e-01,-3.088396476439992169e-02
6.300000000000000044e-01,-2.936234809955358752e-02
6.400000000000000133e-01,-2.786323350066742185e-02
6.500000000000000222e-01,-2.638982592838657465e-02
6.600000000000000311e-01,-2.494494950975513145e-02
6.700000000000000400e-01,-2.353108356456944453e-02
6.800000000000000488e-01,-2.215039581851296555e-02
6.900000000000000577e-01,-2.080477279331419821e-02
7.000000000000000666e-01,-1.949584780073164436e-02
7.100000000000000755e-01,-1.822502656101803245e-02
7.199999999999999734e-01,-1.699351074764035227e-02
7.299999999999999822e-01,-1.580231949668197550e-02
7.399999999999999911e-01,-1.465230915327613535e-02
7.500000000000000000e-01,-1.354419130659136224e-02
7.600000000000000089e-01,-1.247854929025905488e-02
7.700000000000000178e-01,-1.145585325805633173e-02
7.800000000000000266e-01,-1.047647394217478788e-02
7.900000000000000355e-01,-9.540695205812780091e-03
8.000000000000000444e-01,-8.648725481282993829e-03
8.100000000000000533e-01,-7.800708183673656093e-03
8.200000000000000622e-01,-6.996731182190179567e-03
8.300000000000000711e-01,-6.236835403892399161e-03
8.400000000000000799e-01,-5.521022638471879095e-03
8.499999999999999778e-01,-4.849262608210382249e-03
8.599999999999999867e-01,-4.221499360922749237e-03
8.699999999999999956e-01,-3.637657038641897277e-03
8.800000000000000044e-01,-3.097645069607607438e-03
8.900000000000000133e-01,-2.601362830498636300e-03
9.000000000000000222e-01,-2.148703813537768906e-03
9.100000000000000311e-01,-1.739559339929778233e-03
9.200000000000000400e-01,-1.373821847714842446e-03
9.300000000000000488e-01,-1.051387784336909855e-03
9.400000000000000577e-01,-7.721601311447064565e-04
9.500000000000000666e-01,-5.360505742963781860e-04
9.600000000000000755e-01,-3.429813593385180491e-04
9.699999999999999734e-01,-1.928868240881658944e-04
9.799999999999999822e-01,-8.571462781847831610e-05
9.899999999999999911e-01,-2.142672117809126583e-05
1.000000000000000000e+00,1.072093529086227810e-14
