D, Gamma_A/Gamma_K
1.000000000000000021e-03,1.000376765993436834e+00
2.000000000000000042e-03,9.980440450654604057e-01
3.000000000000000062e-03,9.955030252352965459e-01
4.000000000000000083e-03,9.922385950051786363e-01
5.000000000000000104e-03,9.883090837280391616e-01
6.000000000000000125e-03,9.838030883681488925e-01
7.000000000000000146e-03,9.788062452390403623e-01
8.000000000000000167e-03,9.733930321917725337e-01
8.999999999999999320e-03,9.676264584653406775e-01
1.000000000000000021e-02,9.615608565570691324e-01
2.000000000000000042e-02,8.918122992518863201e-01
2.999999999999999889e-02,8.171539936743429378e-01
4.000000000000000083e-02,7.443417736501758419e-01
5.000000000000000278e-02,6.754581042996884443e-01
6.000000000000000472e-02,6.110697104447055938e-01
6.999999999999999278e-02,5.511912430016775444e-01
8.000000000000000167e-02,4.956395478977116409e-01
8.999999999999999667e-02,4.441724136021717451e-01
9.999999999999999167e-02,3.965423081001406835e-01
1.100000000000000006e-01,3.525150998375536360e-01
1.199999999999999956e-01,3.118739855808916883e-01
1.300000000000000044e-01,2.744183934028405769e-01
1.400000000000000133e-01,2.399610556866035305e-01
1.500000000000000222e-01,2.083252042756672806e-01
1.600000000000000033e-01,1.793423095683278623e-01
1.700000000000000122e-01,1.528506958883628919e-01
1.800000000000000211e-01,1.286943735617292195e-01
1.900000000000000022e-01,1.067231294369368616e-01
2.000000000000000111e-01,8.679173135030197883e-02
2.100000000000000200e-01,6.876085780351087751e-02
2.200000000000000011e-01,5.249641289661929194e-02
2.300000000000000100e-01,3.787065875217000832e-02
2.400000000000000189e-01,2.476088051043548802e-02
2.500000000000000000e-01,1.305230356594853057e-02
2.600000000000000089e-01,2.634662019434049710e-03
2.700000000000000178e-01,-6.594016866566113425e-03
2.800000000000000266e-01,-1.473204051512303978e-02
2.900000000000000355e-01,-2.187012419707520458e-02
2.999999999999999889e-01,-2.809250175791470558e-02
3.099999999999999978e-01,-3.347804451929913688e-02
3.200000000000000067e-01,-3.810138491349084749e-02
3.300000000000000155e-01,-4.203087532720531372e-02
3.400000000000000244e-01,-4.532902005717856508e-02
3.500000000000000333e-01,-4.805383140268174036e-02
3.600000000000000422e-01,-5.026280142435965437e-02
3.699999999999999956e-01,-5.200299663946732903e-02
3.800000000000000044e-01,-5.332144381307180048e-02
3.900000000000000133e-01,-5.426190192293570136e-02
4.000000000000000222e-01,-5.486106760838729834e-02
4.100000000000000311e-01,-5.515638784546982032e-02
4.200000000000000400e-01,-5.518097294325940289e-02
4.299999999999999933e-01,-5.496364722908840539e-02
4.400000000000000022e-01,-5.453252051783744059e-02
4.500000000000000111e-01,-5.391433249865374561e-02
4.600000000000000200e-01,-5.313155012527150112e-02
4.700000000000000289e-01,-5.220217304453722562e-02
4.800000000000000377e-01,-5.115089419184674219e-02
4.899999999999999911e-01,-4.999000226980329642e-02
5.000000000000000000e-01,-4.873834184809416187e-02
5.100000000000000089e-01,-4.741103486537560918e-02
5.200000000000000178e-01,-4.602041476254226104e-02
5.300000000000000266e-01,-4.457729988413117878e-02
5.400000000000000355e-01,-4.309247955787327139e-02
5.500000000000000444e-01,-4.157862685686714715e-02
5.600000000000000533e-01,-4.004016315500306955e-02
5.700000000000000622e-01,-3.848759488984998534e-02
5.800000000000000711e-01,-3.692732228529507776e-02
5.899999999999999689e-01,-3.536812863044677679e-02
5.999999999999999778e-01,-3.381196643402410024e-02
6.099999999999999867e-01,-3.226654790529587952e-02
6.199999999999999956e-01,-3.073680955833734199e-02
6.300000000000000044e-01,-2.922517569685031957e-02
6.400000000000000133e-01,-2.773323360881271502e-02
6.500000000000000222e-01,-2.626856704035384835e-02
6.600000000000000311e-01,-2.483168688996126652e-02
6.700000000000000400e-01,-2.342485982900252214e-02
6.800000000000000488e-01,-2.205224619128919039e-02
6.900000000000000577e-01,-2.071307456956580917e-02
7.000000000000000666e-01,-1.941074017613007158e-02
7.100000000000000755e-01,-1.814714416113168485e-02
7.199999999999999734e-01,-1.692215835013625297e-02
7.299999999999999822e-01,-1.573545390368784325e-02
7.399999999999999911e-01,-1.459229470155874384e-02
7.500000000000000000e-01,-1.348783879443630866e-02
7.600000000000000089e-01,-1.242760242982158918e-02
7.700000000000000178e-01,-1.140958790696275718e-02
7.800000000000000266e-01,-1.043512701310672815e-02
7.900000000000000355e-01,-9.503208669771792683e-03
8.000000000000000444e-01,-8.614971139366189509e-03
8.100000000000000533e-01,-7.771171628985369326e-03
8.200000000000000622e-01,-6.970438084328225634e-03
8.300000000000000711e-01,-6.213313645741200784e-03
8.400000000000000799e-01,-5.500801995683558647e-03
8.499999999999999778e-01,-4.831270324045399377e-03
8.599999999999999867e-01,-4.205638328478161596e-03
8.699999999999999956e-01,-3.624048823762764538e-03
8.800000000000000044e-01,-3.086912583967262383e-03
8.900000000000000133e-01,-2.592736008634623397e-03
9.000000000000000222e-01,-2.140969525699265314e-03
9.100000000000000311e-01,-1.734189999381215283e-03
9.200000000000000400e-01,-1.368913560834786628e-03
9.300000000000000488e-01,-1.047751433967780092e-03
9.400000000000000577e-01,-7.689514238193635330e-04
9.500000000000000666e-01,-5.349118520360194315e-04
9.600000000000000755e-01,-3.417316031277945181e-04
9.699999999999999734e-01,-1.922848991312483006e-04
9.799999999999999822e-01,-8.544208122647500847e-05
9.899999999999999911e-01,-2.161140816799196957e-05
1.000000000000000000e+00,-2.794200536045258035e-07
