D, Gamma_A/Gamma_K
1.000000000000000021e-03,8.492930910104623532e-01
2.000000000000000042e-03,9.977106653793130775e-01
3.000000000000000062e-03,9.953790431877059808e-01
4.000000000000000083e-03,9.921764706056318550e-01
5.000000000000000104e-03,9.882900589999354946e-01
6.000000000000000125e-03,9.837910974835366584e-01
7.000000000000000146e-03,9.787920192031993594e-01
8.000000000000000167e-03,9.733887614825365020e-01
8.999999999999999320e-03,9.676232335149037578e-01
1.000000000000000021e-02,9.615636362922111990e-01
2.000000000000000042e-02,8.918122423640976182e-01
2.999999999999999889e-02,8.171539636219427027e-01
4.000000000000000083e-02,7.443415406042119820e-01
5.000000000000000278e-02,6.754577205842217102e-01
6.000000000000000472e-02,6.110697117263799161e-01
6.999999999999999278e-02,5.511909064636024702e-01
8.000000000000000167e-02,4.956396657807962125e-01
8.999999999999999667e-02,4.441720968911058720e-01
9.999999999999999167e-02,3.965420483125126627e-01
1.100000000000000006e-01,3.525150145758813025e-01
1.199999999999999956e-01,3.118740864110424171e-01
1.300000000000000044e-01,2.744183235603344650e-01
1.400000000000000133e-01,2.399614265019998360e-01
1.500000000000000222e-01,2.083258892535805595e-01
1.600000000000000033e-01,1.793425957584016683e-01
1.700000000000000122e-01,1.528519329934565907e-01
1.800000000000000211e-01,1.286931813506279887e-01
1.900000000000000022e-01,1.067253598847349716e-01
2.000000000000000111e-01,8.679155767773030772e-02
2.100000000000000200e-01,6.876073581158340109e-02
2.200000000000000011e-01,5.249280531296399155e-02
2.300000000000000100e-01,3.787486973607669810e-02
2.400000000000000189e-01,2.476472107752330024e-02
2.500000000000000000e-01,1.305348554750218777e-02
2.600000000000000089e-01,2.649058672558785715e-03
2.700000000000000178e-01,-6.579351768871152285e-03
2.800000000000000266e-01,-1.473278796055698357e-02
2.900000000000000355e-01,-2.186029482727789783e-02
2.999999999999999889e-01,-2.807380993965866503e-02
3.099999999999999978e-01,-3.348697133008129295e-02
3.200000000000000067e-01,-3.808954601111975979e-02
3.300000000000000155e-01,-4.202821454956605363e-02
3.400000000000000244e-01,-4.534237895038219224e-02
3.500000000000000333e-01,-4.802885578815910966e-02
3.600000000000000422e-01,-5.023696965810636739e-02
3.699999999999999956e-01,-5.199621518072687631e-02
3.800000000000000044e-01,-5.332402639118599685e-02
3.900000000000000133e-01,-5.424786239407995009e-02
4.000000000000000222e-01,-5.483202395936167400e-02
4.100000000000000311e-01,-5.515778605234217258e-02
4.200000000000000400e-01,-5.516388801013691334e-02
4.299999999999999933e-01,-5.494099858959212990e-02
4.400000000000000022e-01,-5.451266152206490911e-02
4.500000000000000111e-01,-5.387817645817872397e-02
4.600000000000000200e-01,-5.309462705247203207e-02
4.700000000000000289e-01,-5.221463120495617449e-02
4.800000000000000377e-01,-5.111718903183552071e-02
4.899999999999999911e-01,-4.999050610429419533e-02
5.000000000000000000e-01,-4.871841460398265017e-02
5.100000000000000089e-01,-4.740745887101201206e-02
5.200000000000000178e-01,-4.604065676648991939e-02
5.300000000000000266e-01,-4.458229145554359896e-02
5.400000000000000355e-01,-4.308198144780376465e-02
5.500000000000000444e-01,-4.152367012981880018e-02
5.600000000000000533e-01,-4.006606318226253738e-02
5.700000000000000622e-01,-3.846006914160084861e-02
5.800000000000000711e-01,-3.692144522394382594e-02
5.899999999999999689e-01,-3.531705437076331638e-02
5.999999999999999778e-01,-3.380069961172704057e-02
6.099999999999999867e-01,-3.229460656417941500e-02
6.199999999999999956e-01,-3.071399406045517699e-02
6.300000000000000044e-01,-2.919329823938633661e-02
6.400000000000000133e-01,-2.770212330053763508e-02
6.500000000000000222e-01,-2.624803450793359444e-02
6.600000000000000311e-01,-2.488100226847599766e-02
6.700000000000000400e-01,-2.341336923150234839e-02
6.800000000000000488e-01,-2.200791227519749427e-02
6.900000000000000577e-01,-2.067092115884276021e-02
7.000000000000000666e-01,-1.935704791364422847e-02
7.100000000000000755e-01,-1.814097655475357951e-02
7.199999999999999734e-01,-1.692780783212819232e-02
7.299999999999999822e-01,-1.574544944694671739e-02
7.399999999999999911e-01,-1.460606735242522478e-02
7.500000000000000000e-01,-1.351266721515777258e-02
7.600000000000000089e-01,-1.243780959966752850e-02
7.700000000000000178e-01,-1.140576113907111090e-02
7.800000000000000266e-01,-1.035837418197408343e-02
7.900000000000000355e-01,-9.468977436077693002e-03
8.000000000000000444e-01,-8.599414602337915325e-03
8.100000000000000533e-01,-7.773587036056300512e-03
8.200000000000000622e-01,-6.974698618190446411e-03
8.300000000000000711e-01,-6.182586690676634272e-03
8.400000000000000799e-01,-5.515599080749415337e-03
8.499999999999999778e-01,-4.854727894291371512e-03
8.599999999999999867e-01,-4.270707648672106803e-03
8.699999999999999956e-01,-3.610031838017048206e-03
8.800000000000000044e-01,-3.078557897478243627e-03
8.900000000000000133e-01,-2.563453736061947329e-03
9.000000000000000222e-01,-2.104185858875678647e-03
9.100000000000000311e-01,-1.689033094184320223e-03
9.200000000000000400e-01,-1.382478812148559911e-03
9.300000000000000488e-01,-1.045408893932269845e-03
9.400000000000000577e-01,-7.736593595764510800e-04
9.500000000000000666e-01,-5.241114021896874347e-04
9.600000000000000755e-01,-3.412836698180977480e-04
9.699999999999999734e-01,-1.945815846550613291e-04
9.799999999999999822e-01,-4.675742003603379664e-06
9.899999999999999911e-01,-1.182013562745167469e-05
1.000000000000000000e+00,-8.979655557146703788e-06
