D, Gamma_A/Gamma_K
1.000000000000000021e-03,9.999986827424356406e-01
2.000000000000000042e-03,9.999830523922387249e-01
3.000000000000000062e-03,9.999430552612011969e-01
4.000000000000000083e-03,9.998743755209019701e-01
5.000000000000000104e-03,9.997677453601916397e-01
6.000000000000000125e-03,9.996135541072520558e-01
7.000000000000000146e-03,9.994035882048732944e-01
8.000000000000000167e-03,9.991309174372432489e-01
8.999999999999999320e-03,9.987895495519748534e-01
1.000000000000000021e-02,9.983741924020451686e-01
2.000000000000000042e-02,9.893588407233097071e-01
2.999999999999999889e-02,9.706064994147751701e-01
4.000000000000000083e-02,9.430591701632937696e-01
5.000000000000000278e-02,9.089333379559061399e-01
6.000000000000000472e-02,8.704371538143770293e-01
6.999999999999999278e-02,8.292979721773712232e-01
8.000000000000000167e-02,7.867401119176267166e-01
8.999999999999999667e-02,7.435998788350856037e-01
9.999999999999999167e-02,7.004445580432763219e-01
1.100000000000000006e-01,6.576623128365260973e-01
1.199999999999999956e-01,6.155235638288786282e-01
1.300000000000000044e-01,5.742213247980634261e-01
1.400000000000000133e-01,5.338973275701729415e-01
1.500000000000000222e-01,4.946588461502299805e-01
1.600000000000000033e-01,4.565894928425849875e-01
1.700000000000000122e-01,4.197561133312959769e-01
1.800000000000000211e-01,3.842131551929932609e-01
1.900000000000000022e-01,3.500054001662035730e-01
2.000000000000000111e-01,3.171696400561690443e-01
2.100000000000000200e-01,2.857356763155231572e-01
2.200000000000000011e-01,2.557268938396175528e-01
2.300000000000000100e-01,2.271605749731518409e-01
2.400000000000000189e-01,2.000480641355375233e-01
2.500000000000000000e-01,1.743948566648884646e-01
2.600000000000000089e-01,1.502006609244272983e-01
2.700000000000000178e-01,1.274594661759779202e-01
2.800000000000000266e-01,1.061596374299605544e-01
2.900000000000000355e-01,8.628405060959627726e-02
2.999999999999999889e-01,6.781027572414538573e-02
3.099999999999999978e-01,5.071081155454871398e-02
3.200000000000000067e-01,3.495337212819554090e-02
3.300000000000000155e-01,2.050122269533628458e-02
3.400000000000000244e-01,7.313560853388345433e-03
3.500000000000000333e-01,-4.654063190900995482e-03
3.600000000000000422e-01,-1.544929451418868352e-02
3.699999999999999956e-01,-2.512249773400128047e-02
3.800000000000000044e-01,-3.372626639924872216e-02
3.900000000000000133e-01,-4.131492648404887919e-02
4.000000000000000222e-01,-4.794404282087742775e-02
4.100000000000000311e-01,-5.366993686464013175e-02
4.200000000000000400e-01,-5.854922346871311439e-02
4.299999999999999933e-01,-6.263837343010178471e-02
4.400000000000000022e-01,-6.599330747560992749e-02
4.500000000000000111e-01,-6.866902618624749766e-02
4.600000000000000200e-01,-7.071927913981856939e-02
4.700000000000000289e-01,-7.219627535303226040e-02
4.800000000000000377e-01,-7.315043596972628515e-02
4.899999999999999911e-01,-7.363018910306419473e-02
5.000000000000000000e-01,-7.368180582941455392e-02
5.100000000000000089e-01,-7.334927556248188596e-02
5.200000000000000178e-01,-7.267421841659876813e-02
5.300000000000000266e-01,-7.169583169871859840e-02
5.400000000000000355e-01,-7.045086734249250693e-02
5.500000000000000444e-01,-6.897363690078872622e-02
5.600000000000000533e-01,-6.729604063355527910e-02
5.700000000000000622e-01,-6.544761724816508530e-02
5.800000000000000711e-01,-6.345561094946025604e-02
5.899999999999999689e-01,-6.134505262344595172e-02
5.999999999999999778e-01,-5.913885219112334501e-02
6.099999999999999867e-01,-5.685789941546316728e-02
6.199999999999999956e-01,-5.452117071384868230e-02
6.300000000000000044e-01,-5.214583979822198095e-02
6.400000000000000133e-01,-4.974739024790744008e-02
6.500000000000000222e-01,-4.733972838102385589e-02
6.600000000000000311e-01,-4.493529504953869269e-02
6.700000000000000400e-01,-4.254517521795182083e-02
6.800000000000000488e-01,-4.017920440587604419e-02
6.900000000000000577e-01,-3.784607126897714113e-02
7.000000000000000666e-01,-3.555341577055765034e-02
7.100000000000000755e-01,-3.330792254785038681e-02
7.199999999999999734e-01,-3.111540921014614713e-02
7.299999999999999822e-01,-2.898090942133112885e-02
7.399999999999999911e-01,-2.690875071083450795e-02
7.500000000000000000e-01,-2.490262703932171612e-02
7.600000000000000089e-01,-2.296566620643536102e-02
7.700000000000000178e-01,-2.110049223955571401e-02
7.800000000000000266e-01,-1.930928294156845915e-02
7.900000000000000355e-01,-1.759382280179921237e-02
8.000000000000000444e-01,-1.595555149859891400e-02
8.100000000000000533e-01,-1.439560823063661642e-02
8.200000000000000622e-01,-1.291487212274794460e-02
8.300000000000000711e-01,-1.151399895371623371e-02
8.400000000000000799e-01,-1.019345444972645683e-02
8.499999999999999778e-01,-8.953544383089300646e-03
8.599999999999999867e-01,-7.794441705327718149e-03
8.699999999999999956e-01,-6.716210935988892530e-03
8.800000000000000044e-01,-5.718830014275975634e-03
8.900000000000000133e-01,-4.802209809770203140e-03
9.000000000000000222e-01,-3.966211472951925755e-03
9.100000000000000311e-01,-3.210661794334571280e-03
9.200000000000000400e-01,-2.535366725905463612e-03
9.300000000000000488e-01,-1.940123202887490640e-03
9.400000000000000577e-01,-1.424729392626833619e-03
9.500000000000000666e-01,-9.889934809177596854e-04
9.600000000000000755e-01,-6.327410928292474682e-04
9.699999999999999734e-01,-3.558214323531079938e-04
9.799999999999999822e-01,-1.581122106032229239e-04
9.899999999999999911e-01,-3.952342032474842360e-05
1.000000000000000000e+00,3.363149292763223596e-14
