x, y
1.000000000000000000e+00,1.332267629550187799e-17
9.999961398670832446e-01,-5.417299578658330260e-07
9.999845595279354127e-01,-2.166898319517773769e-06
9.999652591613630292e-01,-4.875440550631271497e-06
9.999382390653742680e-01,-8.667249100524631477e-06
9.999034996571736222e-01,-1.354217341172469928e-05
9.998610414731559093e-01,-1.950001993364258615e-05
9.998108651688981663e-01,-2.654055213960670998e-05
9.997529715191493249e-01,-3.466349054829231810e-05
9.996873614178178880e-01,-4.386851274881475534e-05
9.996140358779589397e-01,-5.415525342945981020e-05
9.995329960317576035e-01,-6.552330441052412076e-05
9.994442431305122776e-01,-7.797221468063941351e-05
9.993477785446149841e-01,-9.150149043744670700e-05
9.992436037635301638e-01,-1.061105951315077805e-04
9.991317203957716941e-01,-1.217989495142535205e-04
9.990121301688785760e-01,-1.385659316897891468e-04
9.988848349293872886e-01,-1.564108771704564164e-04
9.987498366428039231e-01,-1.753330789357065869e-04
9.986071373935739848e-01,-1.953317874955629041e-04
9.984567393850496408e-01,-2.164062109568542949e-04
9.982986449394561923e-01,-2.385555150939588822e-04
9.981328564978557694e-01,-2.617788234227047496e-04
9.979593766201102500e-01,-2.860752172781344505e-04
9.977782079848411811e-01,-3.114437358958666024e-04
9.975893533893882559e-01,-3.378833764973676558e-04
9.973928157497673475e-01,-3.653930943781214099e-04
9.971885981006237687e-01,-3.939718030002547903e-04
9.969767035951866418e-01,-4.236183740880949825e-04
9.967571355052199378e-01,-4.543316377276029687e-04
9.965298972209715167e-01,-4.861103824690382580e-04
9.962949922511215028e-01,-5.189533554333469832e-04
9.960524242227273284e-01,-5.528592624219475079e-04
9.958021968811683333e-01,-5.878267680298731581e-04
9.955443140900879229e-01,-6.238544957624125344e-04
9.952787798313331713e-01,-6.609410281549732121e-04
9.950055982048944259e-01,-6.990849068965565398e-04
9.947247734288413579e-01,-7.382846329562097647e-04
9.944363098392574596e-01,-7.785386667130022491e-04
9.941402118901743190e-01,-8.198454280892186231e-04
9.938364841535012317e-01,-8.622032966866965574e-04
9.935251313189563671e-01,-9.056106119262419350e-04
9.932061581939928274e-01,-9.500656731905143381e-04
9.928795697037253731e-01,-9.955667399696842973e-04
9.925453708908537065e-01,-1.042112032010413837e-03
9.922035669155853110e-01,-1.089699729467568127e-03
9.918541630555552935e-01,-1.138327973059432034e-03
9.914971647057451154e-01,-1.187994864225196991e-03
9.911325773783989934e-01,-1.238698465286085367e-03
9.907604067029389672e-01,-1.290436799608767277e-03
9.903806584258783019e-01,-1.343207851771945852e-03
9.899933384107324486e-01,-1.397009567735723072e-03
9.895984526379280055e-01,-1.451839855013541429e-03
9.891960072047115693e-01,-1.507696582846917857e-03
9.887860083250543664e-01,-1.564577582383108690e-03
9.883684623295572180e-01,-1.622480646854871245e-03
9.879433756653522858e-01,-1.681403531763219113e-03
9.875107548960035952e-01,-1.741343955062679564e-03
9.870706067014058949e-01,-1.802299597348850767e-03
9.866229378776811831e-01,-1.864268102048516210e-03
9.861677553370744587e-01,-1.927247075612010781e-03
9.857050661078456955e-01,-1.991234087708531122e-03
9.852348773341629284e-01,-2.056226671422585039e-03
9.847571962759906761e-01,-2.122222323454006198e-03
9.842720303089784739e-01,-2.189218504319003812e-03
9.837793869243467437e-01,-2.257212638554528892e-03
9.832792737287714413e-01,-2.326202114923487697e-03
9.827716984442660397e-01,-2.396184286623030853e-03
