number_theta_steps,Appellian Root %,Appellian Value %
3.141592653589793116e-01,1.000000000000000000e+02,1.000000000000000000e+02
2.929859823281577569e-01,2.392325916016098050e-02,1.631708893961860696e+01
2.732397077091078263e-01,2.087675482648699427e-02,3.683759698334577504e+00
2.548242659109066777e-01,1.820524744391941591e-02,1.919736096374001111e+00
2.376499632555711949e-01,1.354027994952828121e-02,1.889107065276601105e+01
2.216331511188198156e-01,1.055284454093420241e-02,1.544730436364528670e+00
2.066958185136858195e-01,1.073482164014191199e-02,1.082247925171457181e+00
1.927652121326300372e-01,2.064773622580157869e-02,1.763304238166220372e+01
1.797734819975446152e-01,1.116651829166672751e-02,1.835041888831325352e+00
1.676573509917604066e-01,1.051464186775409072e-02,2.120642097157916961e+00
1.563578066644904785e-01,1.009538475022234670e-02,6.473822243642292307e+00
1.458198138066231775e-01,1.865538315098571806e-02,6.198935276452669285e+00
1.359920463979447380e-01,9.970961224458771421e-03,4.315342782792118470e+00
1.268266376202213941e-01,1.773879552758656289e-02,2.045223947402508902e+00
1.182789467185637600e-01,1.445326458299570939e-02,8.403267024441394284e-01
1.103073415755546072e-01,1.549834665563622031e-02,1.889484354078294417e-02
1.028729959391527782e-01,1.486505146852414895e-02,3.646438833899039444e-01
9.593970031675778942e-02,1.428945650394805068e-02,7.205792663461308978e-01
8.947368561438141799e-02,1.682778913521476225e-02,1.705475140348381990e-01
8.344345866194911865e-02,1.666213900959021693e-02,1.134223725856059184e-01
7.781964882364535152e-02,1.874160388394707777e-02,7.344352932301729808e-01
7.257486494620848938e-02,1.785673876025741652e-02,1.987108885564952687e-01
6.768356194843166973e-02,1.706028060988775200e-02,2.694703429424263885e-01
6.312191640208512922e-02,1.899200293930703234e-02,3.264211721982410164e-01
5.886771049826741015e-02,1.813077257101857256e-02,1.548644186894476693e-01
5.490022383403665024e-02,1.733614123071835003e-02,5.851018814667496848e-01
5.120013249226049862e-02,2.125488207853834868e-02,6.951989228278125932e-01
4.774941492314641045e-02,2.020949454513427598e-02,1.563332940958093165e-01
4.453126416904191337e-02,1.927031858147143159e-02,3.085318339345142213e-01
4.153000600498929495e-02,2.042167258319944195e-02,4.428585176418800562e-02
3.873102259633323663e-02,2.137622788767748472e-02,1.440108399667291705e-01
3.612068130154999501e-02,2.214430958674052166e-02,2.670290008585268771e-01
3.368626827352767111e-02,2.273907459175235693e-02,3.349754161260954377e-01
3.141592653589793394e-02,2.155420259881472150e-02,1.500168570483341179e-01
2.929859823281577222e-02,2.199930161182403476e-02,9.725898786342776492e-02
2.732397077091078263e-02,2.372752000526776386e-02,3.635470992805664436e-01
2.548242659109067193e-02,2.367954693440312355e-02,2.910405815824697595e-01
2.376499632555711949e-02,2.221446724606769910e-02,1.853068002020182570e-01
2.216331511188199613e-02,2.320190369411689879e-02,1.225809419375691739e-01
2.066958185136859305e-02,2.375900497497844197e-02,3.447952474666579059e-01
1.927652121326301274e-02,2.286877742667382460e-02,1.780197060431796263e-01
1.797734819975447401e-02,2.269575618780991441e-02,3.063682494602774642e-01
1.676573509917604968e-02,2.123144751281492298e-02,1.046254815216517975e-01
1.563578066644905756e-02,2.025042405056051362e-02,1.670205869120903741e-01
1.458198138066231671e-02,1.872993407665972040e-02,1.876715667143635802e-01
1.359920463979447276e-02,1.665757234277330870e-02,1.734375244701417407e-01
1.268266376202214010e-02,1.399135919451014939e-02,1.308988740734157996e-01
1.182789467185637461e-02,1.099589006085661264e-02,2.599206742525299596e-01
1.103073415755546037e-02,7.063518895045190274e-03,3.317575986749142780e-01
1.028729959391527782e-02,2.218468218267456542e-03,1.860843780974459349e-01
9.593970031675776861e-03,3.168520509641171035e-03,1.922537857404920114e-01
8.947368561438141452e-03,9.206665187613082349e-03,1.629795546437312059e-01
8.344345866194912212e-03,1.600493425813330484e-02,2.415233530500692505e-01
7.781964882364528387e-03,2.271000516315904369e-02,1.409282164590819064e-01
7.257486494620841305e-03,3.002396366430423041e-02,2.609739766278967310e-01
6.768356194843164718e-03,3.564820663323322453e-02,9.886371179661335162e-02
6.312191640208510320e-03,4.102689901373468562e-02,1.372322566087896545e-01
5.886771049826738933e-03,4.460963884850442651e-02,1.313817664660735796e-01
5.490022383403661901e-03,4.595261640268981373e-02,9.051928317540583468e-02
5.120013249226047433e-03,4.568675861453944109e-02,1.051522817782129110e-01
4.774941492314641739e-03,4.336706443250454290e-02,8.272838876974575317e-02
4.453126416904191684e-03,3.931080240706302104e-02,3.193667847950633354e-02
4.153000600498929669e-03,3.462817452355614750e-02,2.617001587659950612e-02
3.873102259633324183e-03,2.936267471010157309e-02,8.751823794322365416e-03
3.612068130155000022e-03,2.415449403790545166e-02,8.812355540864982156e-03
3.368626827352767025e-03,1.922879642074851875e-02,1.567958450019959690e-02
3.141592653589793307e-03,1.492997489816234001e-02,6.092400083872307089e-03
2.929859823281576962e-03,1.112409680040332867e-02,1.552085634723580389e-02
2.732397077091078003e-03,7.633798943955799610e-03,6.625777630542899373e-03
2.548242659109067280e-03,5.187092009744449957e-03,1.395281942332045333e-02
2.376499632555712036e-03,3.327547660807762386e-03,1.212711022389181478e-02
2.216331511188199179e-03,1.767856345361995020e-03,5.654243358698739751e-03
2.066958185136859218e-03,7.788086638061698366e-04,1.916914453506551137e-03
1.927652121326299236e-03,1.951669531586976483e-04,8.056370052890532429e-03
1.797734819975445450e-03,1.553711832254335643e-05,1.776137853856840296e-02
1.676573509917603146e-03,4.140908761671528693e-04,1.080964263390565144e-02
1.563578066644904152e-03,4.320757872699275523e-04,2.166541872598988158e-02
1.458198138066231584e-03,5.040129950886696386e-04,1.438926522197703922e-02
1.359920463979447233e-03,4.122807287573202807e-04,8.829948451797133349e-03
1.268266376202214010e-03,5.838685601077969224e-04,2.367789793491242249e-03
1.182789467185637678e-03,3.340849643612653309e-04,3.480110966646558389e-04
1.103073415755546080e-03,3.210801859047581765e-04,1.935615598870422775e-03
1.028729959391527738e-03,4.407593036269004633e-04,5.882260355925487266e-03
9.593970031675777077e-04,3.598596236744153057e-04,6.349881505137066652e-03
8.947368561438141885e-04,3.645284964270566110e-04,4.043654827729841958e-03
8.344345866194912646e-04,2.653701805313143599e-04,7.063981881487137182e-03
7.781964882364535326e-04,3.408804541857790495e-04,2.204261097994715535e-03
7.257486494620849328e-04,1.715824432944583358e-04,5.853678916737460429e-03
6.768356194843164718e-04,3.078052041503794066e-04,7.501018647036936972e-03
6.312191640208509669e-04,2.337967478069384521e-04,1.379168940524928616e-03
5.886771049826737198e-04,2.187557981482251396e-04,3.328271229461346459e-03
5.490022383403661468e-04,2.553516666705851800e-04,5.986012305084132193e-03
5.120013249226047650e-04,8.154478507628328367e-05,8.531844808192205884e-04
4.774941492314641197e-04,3.015709531526432666e-04,9.886670400819485421e-04
4.453126416904191250e-04,1.394800315857920461e-04,2.074953984165298342e-04
4.153000600498929669e-04,1.832951481975691652e-04,4.613971765379147778e-03
3.873102259633324400e-04,1.793060544480905682e-05,4.076847051442979847e-03
3.612068130154999588e-04,2.729346979210684984e-04,2.282752100901852283e-03
3.368626827352766808e-04,9.012095456668705858e-05,5.156039530804476826e-04
3.141592653589793090e-04,1.622964790828402453e-04,3.324415600684870278e-04
